3,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.0397,-0.0010
,0.0230,0.0003,0.0942,-0.0004
,0.0330,0.0014,0.2337,-0.0002
,0.0390,0.0028,0.3628,-0.0001
,0.0450,0.0051,0.5001,0.0000
,0.0510,0.0083,0.6263,0.0002
,0.0570,0.0124,0.7672,0.0005
,0.0620,0.0163,0.8954,0.0009
,0.0680,0.0215,1.0453,0.0017
,0.0730,0.0260,1.1751,0.0024
,0.0780,0.0307,1.3037,0.0031
,0.0830,0.0354,1.4456,0.0040
,0.0880,0.0401,1.5920,0.0051
,0.0930,0.0448,1.7420,0.0062
,0.0980,0.0495,1.8932,0.0075
,0.1020,0.0533,2.0238,0.0085
,0.1060,0.0570,2.1675,0.0096
,0.1100,0.0608,2.3084,0.0107
,0.1140,0.0646,2.4469,0.0120
,0.1180,0.0684,2.5944,0.0132
,0.1220,0.0723,2.7431,0.0146
,0.1260,0.0762,2.8987,0.0160
,0.1300,0.0802,3.0606,0.0176
,0.1340,0.0842,3.2200,0.0192
,0.1380,0.0883,3.3850,0.0208
,0.1410,0.0914,3.5125,0.0221
,0.1440,0.0945,3.6399,0.0235
,0.1480,0.0987,3.7976,0.0254
,0.1520,0.1029,3.9594,0.0281
,0.1550,0.1061,4.0880,0.0313
,0.1580,0.1093,4.2173,0.0357
,0.1610,0.1125,4.3465,0.0413
,0.1640,0.1157,4.4719,0.0477
,0.1680,0.1200,4.6368,0.0578
,0.1720,0.1242,4.7936,0.0700
,0.1760,0.1285,4.9449,0.0829
,0.1800,0.1327,5.1010,0.0945
,0.1840,0.1369,5.2439,0.1053
,0.1880,0.1411,5.3753,0.1153
,0.1920,0.1452,5.5130,0.1243
,0.1960,0.1493,5.6617,0.1319
,0.2000,0.1534,5.8140,0.1384
,0.2040,0.1575,5.9631,0.1439
,0.2080,0.1616,6.1100,0.1489
,0.2120,0.1657,6.2485,0.1535
,0.2160,0.1697,6.3836,0.1580
,0.2200,0.1737,6.5307,0.1624
,0.2240,0.1777,6.6763,0.1667
,0.2280,0.1817,6.8295,0.1707
,0.2320,0.1857,6.9793,0.1743
,0.2360,0.1897,7.1299,0.1777
,0.2400,0.1937,7.2889,0.1809
,0.2440,0.1977,7.4483,0.1838
,0.2480,0.2018,7.6141,0.1866
,0.2520,0.2058,7.7719,0.1892
