4,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,0.0809,0.0022
,0.0400,0.0029,0.2191,0.0012
,0.0460,0.0052,0.3532,0.0009
,0.0530,0.0090,0.4875,0.0006
,0.0600,0.0139,0.6297,0.0003
,0.0650,0.0179,0.7703,0.0002
,0.0700,0.0222,0.9251,0.0001
,0.0750,0.0267,1.0785,0.0000
,0.0790,0.0303,1.2111,0.0002
,0.0830,0.0341,1.3372,0.0004
,0.0880,0.0387,1.4825,0.0010
,0.0930,0.0434,1.6396,0.0018
,0.0970,0.0471,1.7732,0.0025
,0.1010,0.0508,1.9085,0.0035
,0.1050,0.0545,2.0546,0.0045
,0.1090,0.0583,2.2077,0.0056
,0.1130,0.0621,2.3682,0.0068
,0.1170,0.0659,2.5250,0.0080
,0.1210,0.0698,2.6822,0.0093
,0.1250,0.0737,2.8429,0.0110
,0.1290,0.0777,3.0032,0.0133
,0.1330,0.0818,3.1605,0.0160
,0.1370,0.0858,3.3168,0.0204
,0.1410,0.0900,3.4711,0.0268
,0.1450,0.0942,3.6160,0.0349
,0.1490,0.0984,3.7563,0.0443
,0.1540,0.1037,3.9111,0.0558
,0.1580,0.1080,4.0369,0.0642
,0.1620,0.1123,4.1733,0.0730
,0.1660,0.1166,4.3126,0.0826
,0.1700,0.1209,4.4646,0.0915
,0.1740,0.1252,4.6199,0.0993
,0.1780,0.1295,4.7788,0.1066
,0.1810,0.1327,4.9111,0.1115
,0.1840,0.1359,5.0475,0.1164
,0.1870,0.1390,5.1827,0.1215
,0.1910,0.1432,5.3456,0.1285
,0.1950,0.1474,5.5085,0.1350
,0.1980,0.1505,5.6346,0.1395
,0.2010,0.1536,5.7610,0.1432
,0.2050,0.1577,5.9235,0.1471
,0.2090,0.1618,6.0675,0.1500
,0.2130,0.1659,6.2202,0.1522
,0.2170,0.1699,6.3743,0.1539
,0.2210,0.1739,6.5284,0.1552
,0.2250,0.1780,6.6693,0.1562
,0.2290,0.1820,6.8059,0.1568
,0.2330,0.1859,6.9539,0.1574
,0.2370,0.1899,7.1037,0.1581
,0.2410,0.1939,7.2611,0.1590
,0.2450,0.1979,7.4109,0.1599
,0.2490,0.2019,7.5552,0.1612
,0.2530,0.2058,7.6966,0.1629
,0.2570,0.2098,7.8336,0.1653
,0.2610,0.2138,7.9623,0.1690
,0.2660,0.2188,8.1088,0.1747
,0.2710,0.2238,8.2544,0.1811
,0.2750,0.2278,8.3798,0.1871
,0.2790,0.2318,8.5060,0.1940
,0.2830,0.2358,8.6322,0.2019
,0.2870,0.2398,8.7679,0.2097
,0.2910,0.2438,8.8973,0.2175
,0.2960,0.2488,9.0485,0.2266
,0.3000,0.2528,9.1779,0.2327
,0.3040,0.2568,9.3202,0.2378
,0.3080,0.2608,9.4706,0.2418
,0.3120,0.2648,9.6128,0.2456
,0.3160,0.2688,9.7491,0.2493
,0.3200,0.2728,9.8939,0.2527
,0.3240,0.2768,10.0361,0.2568
,0.3280,0.2808,10.1819,0.2616
,0.3320,0.2848,10.3330,0.2669
,0.3360,0.2888,10.4784,0.2715
,0.3400,0.2928,10.6145,0.2749
,0.3440,0.2968,10.7426,0.2777
,0.3480,0.3008,10.8760,0.2800
,0.3520,0.3049,11.0285,0.2819
,0.3550,0.3079,11.1569,0.2833
,0.3580,0.3109,11.2897,0.2847
,0.3610,0.3139,11.4237,0.2863
,0.3640,0.3169,11.5604,0.2882
,0.3670,0.3199,11.7001,0.2904
,0.3700,0.3229,11.8296,0.2928
,0.3740,0.3269,11.9894,0.2964
,0.3780,0.3309,12.1439,0.3005
,0.3820,0.3349,12.2949,0.3056
,0.3860,0.3389,12.4360,0.3117
,0.3900,0.3429,12.5695,0.3183
,0.3950,0.3480,12.7233,0.3267
,0.4000,0.3530,12.8643,0.3353
,0.4050,0.3580,13.0170,0.3430
,0.4100,0.3630,13.1610,0.3493
,0.4150,0.3680,13.3021,0.3548
,0.4200,0.3730,13.4412,0.3595
,0.4250,0.3780,13.5915,0.3639
,0.4290,0.3820,13.7252,0.3672
,0.4330,0.3860,13.8719,0.3707
,0.4370,0.3900,14.0184,0.3745
,0.4410,0.3940,14.1547,0.3784
,0.4450,0.3980,14.2857,0.3824
,0.4500,0.4030,14.4328,0.3876
,0.4540,0.4070,14.5641,0.3918
,0.4580,0.4110,14.6940,0.3960
,0.4620,0.4150,14.8271,0.4001
,0.4660,0.4190,14.9653,0.4040
,0.4700,0.4230,15.0961,0.4077
,0.4740,0.4270,15.2253,0.4113
,0.4790,0.4320,15.3777,0.4155
,0.4840,0.4370,15.5334,0.4198
,0.4880,0.4410,15.6678,0.4230
,0.4920,0.4450,15.7994,0.4262
,0.4960,0.4490,15.9298,0.4293
,0.5000,0.4530,16.0599,0.4323
,0.5040,0.4570,16.1869,0.4352
,0.5080,0.4610,16.3139,0.4380
,0.5120,0.4650,16.4524,0.4408
,0.5160,0.4690,16.5905,0.4437
,0.5200,0.4730,16.7305,0.4466
,0.5240,0.4770,16.8679,0.4496
,0.5280,0.4810,17.0036,0.4527
,0.5320,0.4850,17.1329,0.4558
,0.5370,0.4899,17.2865,0.4596
,0.5410,0.4939,17.4131,0.4627
,0.5460,0.4989,17.5687,0.4665
,0.5500,0.5029,17.6978,0.4692
,0.5540,0.5069,17.8302,0.4717
,0.5580,0.5109,17.9613,0.4739
,0.5620,0.5149,18.0997,0.4760
,0.5660,0.5189,18.2443,0.4779
,0.5700,0.5229,18.3906,0.4800
,0.5740,0.5269,18.5224,0.4824
,0.5790,0.5319,18.6727,0.4854
,0.5840,0.5369,18.8167,0.4884
,0.5890,0.5419,18.9602,0.4916
,0.5940,0.5469,19.0914,0.4951
,0.5990,0.5519,19.2169,0.4991
,0.6050,0.5579,19.3676,0.5043
,0.6100,0.5630,19.5086,0.5091
,0.6140,0.5670,19.6361,0.5135
,0.6180,0.5710,19.7675,0.5183
,0.6220,0.5750,19.9134,0.5233
,0.6260,0.5790,20.0703,0.5283
,0.6300,0.5830,20.2074,0.5331
,0.6340,0.5870,20.3346,0.5379
,0.6390,0.5920,20.4870,0.5436
,0.6440,0.5970,20.6313,0.5491
,0.6490,0.6020,20.7716,0.5545
,0.6540,0.6070,20.9095,0.5601
,0.6590,0.6120,21.0601,0.5658
,0.6630,0.6160,21.1889,0.5705
,0.6670,0.6200,21.3164,0.5751
,0.6720,0.6250,21.4661,0.5813
,0.6770,0.6300,21.6160,0.5876
,0.6810,0.6340,21.7480,0.5926
,0.6850,0.6380,21.8834,0.5973
,0.6890,0.6420,22.0200,0.6017
,0.6930,0.6460,22.1711,0.6057
,0.6970,0.6500,22.3243,0.6095
,0.7010,0.6540,22.4557,0.6131
,0.7050,0.6580,22.5830,0.6163
,0.7100,0.6630,22.7184,0.6202
,0.7150,0.6680,22.8496,0.6241
,0.7210,0.6740,22.9802,0.6293
,0.7270,0.6800,23.1305,0.6351
,0.7320,0.6850,23.2776,0.6401
,0.7360,0.6890,23.4086,0.6443
,0.7400,0.6930,23.5492,0.6485
,0.7440,0.6970,23.6914,0.6527
,0.7480,0.7010,23.8477,0.6569
,0.7520,0.7050,24.0119,0.6611
,0.7560,0.7090,24.1629,0.6654
,0.7600,0.7130,24.3035,0.6695
,0.7640,0.7170,24.4363,0.6734
,0.7680,0.7210,24.5666,0.6773
,0.7730,0.7260,24.7149,0.6823
,0.7780,0.7310,24.8545,0.6871
,0.7830,0.7359,24.9804,0.6917
