2,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.0033,0.0047
,0.1180,0.0040,0.1244,0.0031
,0.1580,0.0077,0.2556,0.0055
,0.2080,0.0143,0.3845,0.0060
,0.2210,0.0158,0.5179,0.0071
,0.2430,0.0182,0.6438,0.0096
,0.2860,0.0226,0.7739,0.0133
,0.2970,0.0236,0.9032,0.0144
,0.3500,0.0290,1.0392,0.0221
,0.3610,0.0302,1.1671,0.0243
,0.4240,0.0364,1.2997,0.0369
,0.4410,0.0381,1.4290,0.0394
,0.4990,0.0440,1.5579,0.0403
,0.5270,0.0467,1.6875,0.0415
,0.5420,0.0482,1.8126,0.0427
,0.5720,0.0512,1.9401,0.0451
,0.6340,0.0574,2.0721,0.0523
,0.6750,0.0615,2.1991,0.0574
,0.7040,0.0644,2.3256,0.0623
,0.7390,0.0680,2.4506,0.0645
,0.7680,0.0708,2.5765,0.0688
,0.7860,0.0726,2.7048,0.0712
,0.8380,0.0780,2.8364,0.0790
,0.9000,0.0841,2.9640,0.0844
,0.9140,0.0855,3.0890,0.0866
,0.9480,0.0890,3.2146,0.0923
,0.9780,0.0919,3.3422,0.0937
,1.0360,0.0977,3.4716,0.0929
,1.0500,0.0991,3.5983,0.0933
,1.0880,0.1029,3.7248,0.0968
,1.1100,0.1050,3.8516,0.0985
,1.1590,0.1099,3.9793,0.0986
,1.1770,0.1118,4.1096,0.1002
,1.2530,0.1193,4.2408,0.1120
,1.2750,0.1215,4.3670,0.1144
,1.3020,0.1243,4.4945,0.1168
,1.3290,0.1269,4.6243,0.1172
,1.4050,0.1347,4.7502,0.1213
,1.4350,0.1376,4.8787,0.1244
,1.4670,0.1407,5.0081,0.1245
,1.5110,0.1452,5.1356,0.1261
,1.5620,0.1503,5.2677,0.1277
,1.5790,0.1520,5.3954,0.1277
,1.6260,0.1568,5.5246,0.1288
,1.6590,0.1600,5.6499,0.1322
,1.6830,0.1622,5.7763,0.1340
,1.7150,0.1655,5.9032,0.1362
,1.7650,0.1706,6.0290,0.1396
,1.8340,0.1774,6.1596,0.1450
,1.8540,0.1795,6.2902,0.1462
,1.9140,0.1854,6.4158,0.1513
,1.9270,0.1867,6.5433,0.1539
,1.9480,0.1888,6.6683,0.1596
,2.0120,0.1953,6.7952,0.1658
,2.0490,0.1989,6.9283,0.1693
,2.1080,0.2050,7.0556,0.1768
,2.1420,0.2083,7.1815,0.1812
,2.1620,0.2103,7.3067,0.1836
,2.2190,0.2161,7.4340,0.1881
,2.2380,0.2179,7.5597,0.1874
,2.2900,0.2229,7.6894,0.1891
,2.3050,0.2245,7.8154,0.1902
,2.3460,0.2287,7.9434,0.1961
,2.3980,0.2338,8.0693,0.2052
,2.4490,0.2390,8.1952,0.2143
,2.4620,0.2403,8.3212,0.2171
,2.5280,0.2468,8.4491,0.2270
,2.5570,0.2498,8.5747,0.2299
,2.5800,0.2521,8.7000,0.2323
,2.6280,0.2568,8.8256,0.2384
,2.6790,0.2621,8.9518,0.2503
,2.6960,0.2637,9.0797,0.2527
,2.7690,0.2710,9.2067,0.2620
,2.7820,0.2724,9.3375,0.2645
,2.8100,0.2751,9.4680,0.2672
,2.8960,0.2837,9.5966,0.2724
,2.9270,0.2867,9.7257,0.2752
,2.9870,0.2927,9.8544,0.2831
,3.0100,0.2951,9.9803,0.2873
,3.0830,0.3023,10.1159,0.2943
,3.0950,0.3035,10.2451,0.2963
,3.1360,0.3077,10.3727,0.3070
,3.1630,0.3104,10.5006,0.3110
,3.2130,0.3154,10.6285,0.3171
,3.2680,0.3209,10.7536,0.3247
,3.3160,0.3256,10.8833,0.3319
,3.3400,0.3281,11.0117,0.3392
,3.3830,0.3324,11.1389,0.3450
,3.4320,0.3373,11.2652,0.3474
,3.4980,0.3438,11.3936,0.3539
,3.5140,0.3454,11.5195,0.3556
,3.5380,0.3478,11.6461,0.3593
,3.5860,0.3527,11.7805,0.3652
,3.6450,0.3585,11.9106,0.3698
,3.6750,0.3615,12.0367,0.3753
,3.7210,0.3662,12.1659,0.3855
,3.7810,0.3721,12.2946,0.3869
,3.8220,0.3764,12.4246,0.3938
,3.8920,0.3832,12.5550,0.4041
,3.9020,0.3843,12.6886,0.4046
,3.9150,0.3856,12.8139,0.4053
,4.0040,0.3945,12.9411,0.4109
,4.0260,0.3967,13.0692,0.4111
,4.1060,0.4046,13.1976,0.4123
,4.1260,0.4066,13.3287,0.4151
,4.1670,0.4108,13.4559,0.4224
,4.2550,0.4195,13.5836,0.4289
,4.2820,0.4223,13.7099,0.4297
,4.3220,0.4262,13.8392,0.4355
,4.3380,0.4278,13.9673,0.4387
,4.4020,0.4344,14.0945,0.4429
,4.4340,0.4374,14.2222,0.4468
,4.4500,0.4390,14.3513,0.4487
,4.5160,0.4458,14.4789,0.4540
,4.5350,0.4476,14.6074,0.4559
,4.6230,0.4565,14.7345,0.4671
,4.6380,0.4580,14.8597,0.4697
,4.6560,0.4597,14.9863,0.4727
,4.7310,0.4672,15.1114,0.4802
,4.7820,0.4722,15.2375,0.4827
,4.7970,0.4737,15.3668,0.4828
,4.8660,0.4807,15.4939,0.4888
,4.8810,0.4821,15.6203,0.4897
,4.9550,0.4896,15.7493,0.4918
,4.9760,0.4917,15.8799,0.4940
,5.0520,0.4993,16.0126,0.5048
,5.0980,0.5040,16.1403,0.5113
,5.1350,0.5076,16.2689,0.5135
,5.2040,0.5146,16.3951,0.5206
,5.2190,0.5160,16.5255,0.5215
,5.3040,0.5245,16.6506,0.5283
,5.3210,0.5262,16.7795,0.5290
,5.3560,0.5296,16.9082,0.5282
,5.3700,0.5310,17.0371,0.5292
,5.4220,0.5363,17.1646,0.5384
,5.5140,0.5454,17.2903,0.5420
,5.5650,0.5506,17.4183,0.5454
,5.5870,0.5528,17.5454,0.5481
,5.6430,0.5585,17.6732,0.5491
,5.6590,0.5601,17.8052,0.5492
,5.7130,0.5653,17.9320,0.5546
,5.7500,0.5691,18.0597,0.5551
,5.8060,0.5747,18.1892,0.5613
,5.8870,0.5828,18.3199,0.5635
,5.9370,0.5877,18.4459,0.5621
,5.9740,0.5914,18.5790,0.5584
,5.9950,0.5936,18.7044,0.5584
,6.0550,0.5994,18.8305,0.5678
,6.0780,0.6018,18.9596,0.5693
,6.1310,0.6071,19.0855,0.5651
,6.1540,0.6094,19.2114,0.5662
,6.2300,0.6172,19.3403,0.5685
,6.2670,0.6208,19.4699,0.5701
,6.3100,0.6251,19.5966,0.5726
,6.3810,0.6322,19.7219,0.5744
,6.3940,0.6335,19.8541,0.5740
,6.4640,0.6405,19.9803,0.5766
,6.5000,0.6440,20.1083,0.5810
,6.5370,0.6477,20.2387,0.5851
,6.5880,0.6529,20.3673,0.5882
,6.6390,0.6579,20.4930,0.5944
,6.6740,0.6615,20.6188,0.5979
,6.7080,0.6648,20.7459,0.6030
,6.7980,0.6740,20.8721,0.6069
,6.8330,0.6774,21.0037,0.6084
,6.8970,0.6838,21.1304,0.6177
,6.9190,0.6861,21.2593,0.6196
,6.9670,0.6908,21.3879,0.6250
,6.9970,0.6938,21.5141,0.6268
,7.0380,0.6980,21.6418,0.6269
,7.1010,0.7040,21.7671,0.6298
,7.1530,0.7094,21.8936,0.6373
,7.1900,0.7130,22.0193,0.6403
,7.2120,0.7152,22.1474,0.6441
,7.2710,0.7212,22.2748,0.6521
,7.3500,0.7290,22.4001,0.6642
,7.4080,0.7349,22.5255,0.6780
,7.4420,0.7383,22.6522,0.6804
,7.4910,0.7433,22.7792,0.6826
,7.5320,0.7473,22.9089,0.6877
,7.5890,0.7530,23.0385,0.6937
,7.6400,0.7581,23.1648,0.6960
,7.6940,0.7634,23.2927,0.7083
,7.7190,0.7660,23.4203,0.7140
,7.7620,0.7702,23.5468,0.7208
,7.8140,0.7754,23.6724,0.7276
,7.8650,0.7805,23.8009,0.7354
,7.9400,0.7881,23.9296,0.7411
,7.9580,0.7899,24.0581,0.7417
,7.9880,0.7928,24.1834,0.7449
,8.0370,0.7978,24.3088,0.7491
,8.0890,0.8030,24.4342,0.7509
,8.1450,0.8086,24.5627,0.7587
,8.2090,0.8150,24.6895,0.7700
,8.2330,0.8174,24.8148,0.7765
,8.2910,0.8232,24.9447,0.7863
,8.3720,0.8312,25.0722,0.7973
,8.3940,0.8334,25.2022,0.7982
,8.4270,0.8367,25.3276,0.7993
,8.4730,0.8413,25.4536,0.8003
,8.4960,0.8436,25.5810,0.8030
,8.6010,0.8541,25.7099,0.8159
,8.6250,0.8566,25.8350,0.8179
,8.6740,0.8614,25.9603,0.8176
,8.7300,0.8671,26.0863,0.8218
,8.7510,0.8693,26.2158,0.8240
,8.7680,0.8710,26.3438,0.8246
,8.8680,0.8810,26.4718,0.8292
,8.9180,0.8857,26.6018,0.8337
,8.9440,0.8884,26.7297,0.8397
,8.9990,0.8940,26.8588,0.8420
,9.0400,0.8980,26.9856,0.8432
,9.1170,0.9058,27.1123,0.8446
,9.1540,0.9094,27.2384,0.8445
,9.1890,0.9130,27.3677,0.8444
,9.2310,0.9172,27.4937,0.8426
,9.3070,0.9248,27.6197,0.8476
,9.3230,0.9265,27.7536,0.8485
,9.4060,0.9347,27.8831,0.8500
,9.4190,0.9360,28.0132,0.8514
,9.5210,0.9461,28.1453,0.8525
,9.5540,0.9495,28.2726,0.8528
,9.6090,0.9549,28.4040,0.8549
,9.6310,0.9571,28.5322,0.8534
,9.6630,0.9604,28.6600,0.8535
,9.7440,0.9684,28.7884,0.8487
,9.7940,0.9735,28.9169,0.8448
,9.8740,0.9815,29.0443,0.8476
,9.9130,0.9855,29.1704,0.8469
,9.9580,0.9898,29.2977,0.8497
,9.9760,0.9916,29.4278,0.8492
,10.0670,1.0007,29.5552,0.8596
,10.1090,1.0049,29.6810,0.8617
,10.1730,1.0113,29.8075,0.8688
,10.2320,1.0173,29.9354,0.8746
,10.2490,1.0190,30.0650,0.8756
,10.3100,1.0250,30.1925,0.8825
,10.3760,1.0317,30.3176,0.8906
,10.4420,1.0383,30.4427,0.8964
,10.4650,1.0407,30.5683,0.9007
,10.4940,1.0435,30.6939,0.9027
,10.5700,1.0511,30.8247,0.9035
,10.6240,1.0565,30.9571,0.9111
,10.6570,1.0598,31.0841,0.9168
,10.7440,1.0684,31.2144,0.9331
,10.7910,1.0731,31.3394,0.9465
,10.8130,1.0754,31.4709,0.9507
,10.8930,1.0833,31.5970,0.9535
,10.9400,1.0881,31.7253,0.9552
,10.9550,1.0896,31.8560,0.9578
,11.0720,1.1013,31.9855,0.9818
