3,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.0822,0.0000
,0.1270,0.0046,0.0441,0.0015
,0.1620,0.0077,0.1764,0.0047
,0.1800,0.0101,0.3073,0.0054
,0.1940,0.0120,0.4413,0.0056
,0.2120,0.0144,0.5722,0.0062
,0.2280,0.0163,0.6984,0.0073
,0.2820,0.0218,0.8265,0.0115
,0.3060,0.0243,0.9548,0.0132
,0.3260,0.0264,1.0816,0.0138
,0.3700,0.0308,1.2165,0.0159
,0.3810,0.0319,1.3487,0.0168
,0.4020,0.0340,1.4753,0.0172
,0.4500,0.0389,1.6009,0.0205
,0.4820,0.0420,1.7284,0.0220
,0.5240,0.0462,1.8552,0.0252
,0.5520,0.0491,1.9819,0.0275
,0.5820,0.0521,2.1083,0.0297
,0.6380,0.0577,2.2408,0.0357
,0.6510,0.0590,2.3714,0.0370
,0.6720,0.0612,2.4995,0.0395
,0.6850,0.0624,2.6294,0.0411
,0.7550,0.0693,2.7603,0.0475
,0.7950,0.0734,2.8883,0.0531
,0.8140,0.0753,3.0195,0.0552
,0.8240,0.0762,3.1567,0.0561
,0.8330,0.0771,3.2834,0.0570
,0.8940,0.0833,3.4165,0.0642
,0.9100,0.0849,3.5438,0.0662
,0.9270,0.0866,3.6724,0.0677
,0.9500,0.0888,3.7991,0.0700
,0.9990,0.0938,3.9247,0.0771
,1.0500,0.0989,4.0499,0.0844
,1.0770,0.1015,4.1773,0.0946
,1.1010,0.1040,4.3035,0.1071
,1.1360,0.1076,4.4288,0.1124
,1.1650,0.1104,4.5538,0.1185
,1.1870,0.1126,4.6798,0.1205
,1.2620,0.1202,4.8162,0.1208
,1.2960,0.1234,4.9417,0.1342
,1.3240,0.1261,5.0719,0.1392
,1.3540,0.1293,5.2018,0.1364
,1.3670,0.1306,5.3302,0.1350
,1.3830,0.1322,5.4565,0.1358
,1.4660,0.1405,5.5843,0.1479
,1.4780,0.1417,5.7134,0.1485
,1.5010,0.1439,5.8384,0.1499
,1.5240,0.1462,5.9714,0.1523
,1.5770,0.1516,6.1021,0.1592
,1.5920,0.1531,6.2278,0.1614
,1.6510,0.1589,6.3579,0.1697
,1.6720,0.1611,6.4848,0.1726
,1.7240,0.1664,6.6135,0.1806
,1.7620,0.1700,6.7401,0.1855
,1.7820,0.1720,6.8704,0.1876
,1.8250,0.1765,6.9975,0.1943
,1.8580,0.1797,7.1252,0.1984
,1.8860,0.1824,7.2551,0.2011
,1.9010,0.1839,7.3883,0.2030
,1.9200,0.1858,7.5150,0.2054
,2.0120,0.1950,7.6495,0.2191
,2.0200,0.1958,7.7777,0.2202
,2.0570,0.1996,7.9031,0.2240
,2.1340,0.2072,8.0354,0.2319
,2.1440,0.2082,8.1711,0.2324
,2.1560,0.2094,8.3024,0.2331
,2.2150,0.2153,8.4409,0.2394
,2.2280,0.2166,8.5700,0.2409
,2.2750,0.2215,8.6975,0.2442
,2.2900,0.2230,8.8252,0.2456
,2.3450,0.2284,8.9526,0.2510
,2.3590,0.2298,9.0808,0.2515
,2.4330,0.2372,9.2082,0.2565
,2.4540,0.2393,9.3346,0.2574
,2.4840,0.2423,9.4664,0.2605
,2.5320,0.2471,9.5952,0.2650
,2.5890,0.2527,9.7210,0.2679
,2.6410,0.2580,9.8506,0.2705
,2.6590,0.2597,9.9757,0.2711
,2.6850,0.2623,10.1029,0.2722
,2.7520,0.2691,10.2311,0.2725
,2.7820,0.2720,10.3581,0.2731
,2.8110,0.2749,10.4855,0.2741
,2.8340,0.2773,10.6170,0.2755
,2.8480,0.2787,10.7428,0.2762
,2.9300,0.2868,10.8704,0.2811
,2.9570,0.2896,10.9993,0.2842
,2.9930,0.2933,11.1273,0.2868
,3.0120,0.2951,11.2545,0.2871
,3.0520,0.2991,11.3805,0.2905
,3.1200,0.3058,11.5084,0.2948
,3.1330,0.3071,11.6379,0.2955
,3.1490,0.3087,11.7707,0.2964
,3.2120,0.3151,11.8988,0.2999
,3.2510,0.3189,12.0280,0.3049
,3.2700,0.3208,12.1577,0.3071
,3.3350,0.3274,12.2833,0.3108
,3.3590,0.3297,12.4094,0.3115
,3.3990,0.3337,12.5352,0.3136
,3.4570,0.3396,12.6604,0.3151
,3.4990,0.3437,12.7897,0.3193
,3.5430,0.3483,12.9176,0.3246
,3.5870,0.3526,13.0531,0.3280
,3.5990,0.3537,13.1810,0.3293
,3.6360,0.3575,13.3064,0.3328
,3.7110,0.3649,13.4372,0.3402
,3.7550,0.3693,13.5645,0.3435
,3.7730,0.3712,13.6918,0.3454
,3.8260,0.3764,13.8187,0.3517
,3.8460,0.3784,13.9493,0.3545
,3.8610,0.3799,14.0803,0.3565
,3.9530,0.3891,14.2099,0.3674
,3.9710,0.3909,14.3370,0.3701
,3.9950,0.3934,14.4690,0.3728
,4.0520,0.3991,14.5962,0.3803
,4.1220,0.4062,14.7213,0.3911
,4.1440,0.4083,14.8512,0.3941
,4.1790,0.4117,14.9786,0.3980
,4.2330,0.4173,15.1119,0.4060
,4.2530,0.4192,15.2393,0.4081
,4.3280,0.4267,15.3678,0.4171
,4.3730,0.4312,15.4944,0.4223
,4.3980,0.4336,15.6281,0.4264
,4.4370,0.4375,15.7589,0.4304
,4.4590,0.4398,15.8873,0.4331
,4.5230,0.4461,16.0150,0.4422
,4.5810,0.4520,16.1402,0.4518
,4.5960,0.4535,16.2662,0.4547
,4.6120,0.4551,16.3914,0.4576
,4.6540,0.4592,16.5226,0.4639
,4.7280,0.4667,16.6504,0.4705
,4.7770,0.4715,16.7800,0.4772
,4.8410,0.4780,16.9078,0.4852
,4.8600,0.4799,17.0406,0.4867
,4.8930,0.4832,17.1723,0.4893
,4.9530,0.4891,17.3006,0.4938
,4.9660,0.4904,17.4260,0.4956
,4.9860,0.4924,17.5536,0.4989
,5.0590,0.4997,17.6805,0.5048
,5.1410,0.5080,17.8140,0.5114
,5.1530,0.5092,17.9439,0.5130
,5.1990,0.5137,18.0719,0.5186
,5.2120,0.5150,18.2007,0.5202
,5.2230,0.5161,18.3337,0.5217
,5.2900,0.5229,18.4620,0.5271
,5.3970,0.5337,18.5874,0.5360
,5.4150,0.5354,18.7223,0.5371
,5.4540,0.5393,18.8508,0.5383
,5.4960,0.5436,18.9780,0.5384
,5.5670,0.5505,19.1050,0.5416
,5.6080,0.5547,19.2319,0.5452
,5.6370,0.5575,19.3571,0.5464
,5.6540,0.5592,19.4850,0.5465
,5.7300,0.5669,19.6161,0.5514
,5.7690,0.5707,19.7421,0.5547
,5.7890,0.5727,19.8715,0.5560
,5.8540,0.5794,19.9969,0.5596
,5.8940,0.5832,20.1249,0.5631
,5.9100,0.5848,20.2542,0.5644
,5.9830,0.5922,20.3811,0.5668
,6.0430,0.5982,20.5093,0.5708
,6.0750,0.6015,20.6365,0.5726
,6.1080,0.6047,20.7621,0.5753
,6.1640,0.6102,20.8888,0.5785
,6.2250,0.6163,21.0149,0.5827
,6.2380,0.6176,21.1486,0.5837
,6.3130,0.6252,21.2746,0.5891
,6.3400,0.6278,21.4041,0.5916
,6.4040,0.6343,21.5304,0.5952
,6.4270,0.6366,21.6561,0.5959
,6.4670,0.6405,21.7823,0.6000
,6.5000,0.6439,21.9136,0.6036
,6.5590,0.6498,22.0395,0.6088
,6.5830,0.6521,22.1681,0.6102
,6.6510,0.6591,22.2957,0.6187
,6.6950,0.6633,22.4235,0.6226
,6.7620,0.6701,22.5549,0.6302
,6.7840,0.6723,22.6803,0.6331
,6.8450,0.6783,22.8073,0.6400
,6.9000,0.6838,22.9351,0.6476
,6.9510,0.6889,23.0637,0.6567
,6.9690,0.6907,23.1950,0.6596
,7.0050,0.6944,23.3251,0.6656
,7.0640,0.7002,23.4502,0.6744
,7.1040,0.7044,23.5773,0.6795
,7.1720,0.7110,23.7054,0.6881
,7.1900,0.7129,23.8310,0.6909
,7.2020,0.7141,23.9582,0.6928
,7.2660,0.7205,24.0850,0.6990
,7.3270,0.7266,24.2104,0.7068
,7.3980,0.7336,24.3398,0.7180
,7.4270,0.7365,24.4673,0.7237
,7.4550,0.7394,24.5957,0.7294
,7.5470,0.7486,24.7221,0.7438
,7.5820,0.7521,24.8484,0.7502
,7.6380,0.7576,24.9745,0.7592
,7.6560,0.7595,25.1004,0.7621
,7.6770,0.7617,25.2267,0.7648
,7.7280,0.7666,25.3519,0.7686
,7.7810,0.7720,25.4884,0.7744
,7.8390,0.7778,25.6155,0.7829
,7.8620,0.7801,25.7430,0.7847
,7.9130,0.7853,25.8704,0.7876
,7.9770,0.7915,25.9985,0.7911
,8.0280,0.7967,26.1281,0.7950
,8.0490,0.7987,26.2543,0.7970
,8.1310,0.8070,26.3835,0.8053
,8.1710,0.8109,26.5169,0.8086
,8.1900,0.8128,26.6456,0.8094
,8.2630,0.8203,26.7707,0.8130
,8.3130,0.8251,26.8976,0.8159
,8.3630,0.8303,27.0244,0.8198
,8.3870,0.8326,27.1537,0.8216
,8.4480,0.8387,27.2868,0.8245
,8.4850,0.8425,27.4136,0.8259
,8.5150,0.8454,27.5437,0.8285
,8.5870,0.8526,27.6739,0.8327
,8.6400,0.8578,27.8063,0.8353
,8.6490,0.8587,27.9401,0.8355
,8.6870,0.8625,27.8132,0.8366
,8.7200,0.8659,27.9398,0.8372
,8.7590,0.8697,28.0658,0.8388
,8.7880,0.8726,28.1931,0.8402
,8.8360,0.8775,28.3253,0.8412
,8.8690,0.8808,28.4507,0.8420
,8.9060,0.8845,28.5784,0.8438
,8.9910,0.8930,28.7081,0.8461
,9.0300,0.8969,28.8340,0.8490
,9.0600,0.9000,28.9592,0.8515
,9.1180,0.9056,29.0915,0.8534
,9.1790,0.9118,29.2203,0.8599
,9.2410,0.9179,29.3501,0.8629
