2,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,0.0830,0.0026
,0.0270,0.0000,-0.0433,0.0024
,0.0690,0.0012,0.0853,0.0030
,0.1230,0.0043,0.2132,0.0027
,0.1420,0.0056,0.3422,0.0035
,0.1710,0.0089,0.4697,0.0042
,0.2010,0.0130,0.6000,0.0056
,0.2460,0.0182,0.7302,0.0079
,0.2600,0.0197,0.8636,0.0083
,0.2850,0.0222,0.9928,0.0085
,0.3240,0.0263,1.1199,0.0095
,0.3410,0.0280,1.2539,0.0106
,0.3760,0.0314,1.3815,0.0125
,0.3930,0.0331,1.5111,0.0133
,0.4490,0.0389,1.6374,0.0177
,0.4670,0.0407,1.7629,0.0199
,0.5130,0.0452,1.8888,0.0243
,0.5470,0.0487,2.0146,0.0274
,0.5690,0.0509,2.1499,0.0291
,0.5880,0.0527,2.2762,0.0306
,0.6210,0.0559,2.4040,0.0329
,0.6560,0.0595,2.5319,0.0354
,0.7020,0.0641,2.6602,0.0401
,0.7320,0.0671,2.7879,0.0436
,0.7560,0.0695,2.9194,0.0456
,0.7760,0.0715,3.0480,0.0472
,0.8240,0.0763,3.1765,0.0517
,0.8370,0.0775,3.3099,0.0524
,0.8610,0.0800,3.4376,0.0541
,0.9050,0.0845,3.5633,0.0566
,0.9330,0.0873,3.6938,0.0583
,0.9490,0.0888,3.8238,0.0592
,1.0070,0.0947,3.9518,0.0632
,1.0230,0.0964,4.0795,0.0651
,1.0680,0.1007,4.2150,0.0691
,1.0830,0.1022,4.3416,0.0698
,1.1230,0.1064,4.4679,0.0724
,1.1400,0.1081,4.5949,0.0739
,1.2230,0.1162,4.7200,0.0815
,1.2350,0.1174,4.8479,0.0823
,1.2480,0.1188,4.9744,0.0833
,1.2630,0.1203,5.1026,0.0848
,1.3190,0.1258,5.2277,0.0876
,1.3750,0.1315,5.3574,0.0937
,1.3900,0.1329,5.4899,0.0954
,1.4030,0.1342,5.6208,0.0968
,1.4340,0.1373,5.7476,0.0998
,1.4860,0.1426,5.8742,0.1039
,1.5000,0.1440,6.0023,0.1048
,1.5420,0.1481,6.1300,0.1089
