6,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.0229,-0.0049
,0.1090,0.0038,0.1033,-0.0054
,0.1300,0.0051,0.2316,-0.0044
,0.1850,0.0111,0.3617,-0.0031
,0.2030,0.0135,0.4944,-0.0028
,0.2210,0.0157,0.6213,-0.0019
,0.2480,0.0187,0.7507,-0.0003
,0.2770,0.0215,0.8791,0.0009
,0.3060,0.0244,1.0042,0.0038
,0.3640,0.0304,1.1294,0.0107
,0.3890,0.0328,1.2577,0.0131
,0.4210,0.0360,1.3832,0.0156
,0.4600,0.0401,1.5091,0.0188
,0.4850,0.0426,1.6408,0.0214
,0.5110,0.0451,1.7667,0.0237
,0.5370,0.0478,1.8955,0.0260
,0.5900,0.0531,2.0234,0.0293
,0.6130,0.0553,2.1496,0.0311
,0.6340,0.0574,2.2778,0.0329
,0.6990,0.0641,2.4076,0.0409
,0.7170,0.0658,2.5406,0.0430
,0.7710,0.0711,2.6678,0.0490
,0.7920,0.0733,2.7948,0.0508
,0.8290,0.0769,2.9267,0.0552
,0.8510,0.0791,3.0601,0.0570
,0.8760,0.0816,3.1882,0.0595
,0.9060,0.0847,3.3149,0.0619
,0.9430,0.0883,3.4400,0.0649
,1.0010,0.0941,3.5688,0.0679
,1.0170,0.0958,3.6985,0.0686
,1.0360,0.0977,3.8247,0.0699
,1.1170,0.1058,3.9579,0.0750
,1.1460,0.1088,4.0831,0.0774
,1.1880,0.1128,4.2087,0.0805
,1.2000,0.1140,4.3438,0.0817
,1.2150,0.1155,4.4688,0.0834
,1.3010,0.1242,4.5944,0.0900
,1.3160,0.1257,4.7263,0.0901
,1.3660,0.1308,4.8547,0.0941
,1.4120,0.1352,4.9833,0.0968
,1.4270,0.1367,5.1153,0.0980
,1.4600,0.1400,5.2435,0.1010
,1.4910,0.1432,5.3701,0.1049
,1.5200,0.1460,5.4976,0.1072
,1.5450,0.1485,5.6247,0.1085
,1.5960,0.1537,5.7514,0.1113
,1.6490,0.1589,5.8774,0.1163
,1.6830,0.1623,6.0087,0.1187
,1.7090,0.1650,6.1341,0.1219
,1.7540,0.1695,6.2596,0.1272
,1.7660,0.1706,6.3891,0.1282
,1.8440,0.1786,6.5146,0.1374
,1.8630,0.1804,6.6441,0.1384
,1.8830,0.1824,6.7698,0.1387
,1.9270,0.1868,6.9006,0.1414
,1.9410,0.1883,7.0322,0.1426
,1.9990,0.1939,7.1580,0.1481
,2.0220,0.1961,7.2872,0.1503
,2.1010,0.2041,7.4163,0.1587
,2.1270,0.2067,7.5479,0.1618
,2.1640,0.2104,7.6773,0.1638
,2.1830,0.2124,7.8046,0.1657
,2.2110,0.2151,7.9333,0.1689
,2.2830,0.2224,8.0617,0.1785
,2.3140,0.2255,8.1894,0.1840
,2.3630,0.2303,8.3181,0.1895
,2.3750,0.2315,8.4464,0.1910
,2.4140,0.2356,8.5720,0.1967
,2.4730,0.2413,8.6970,0.2034
,2.5060,0.2447,8.8253,0.2080
,2.5250,0.2467,8.9516,0.2102
,2.5670,0.2507,9.0775,0.2137
,2.6000,0.2540,9.2091,0.2174
,2.6210,0.2562,9.3381,0.2197
,2.6530,0.2594,9.4642,0.2232
,2.6910,0.2631,9.5903,0.2280
,2.7390,0.2680,9.7154,0.2337
,2.7630,0.2704,9.8472,0.2383
,2.8260,0.2766,9.9727,0.2465
,2.8690,0.2810,10.0996,0.2486
,2.8930,0.2834,10.2263,0.2498
,2.9220,0.2862,10.3569,0.2518
,2.9680,0.2909,10.4827,0.2555
,3.0110,0.2952,10.6101,0.2589
,3.0570,0.2997,10.7404,0.2622
,3.1030,0.3045,10.8675,0.2660
,3.1230,0.3064,10.9947,0.2693
,3.1630,0.3104,11.1238,0.2740
,3.2150,0.3156,11.2555,0.2800
,3.2340,0.3175,11.3809,0.2821
,3.2810,0.3221,11.5093,0.2872
,3.3350,0.3276,11.6349,0.2948
,3.3520,0.3292,11.7624,0.2968
,3.4110,0.3351,11.8932,0.3019
,3.4420,0.3383,12.0251,0.3052
,3.4810,0.3421,12.1564,0.3078
,3.4970,0.3437,12.2871,0.3081
,3.5580,0.3500,12.4187,0.3119
,3.5780,0.3519,12.5453,0.3126
,3.6260,0.3566,12.6711,0.3148
,3.6420,0.3582,12.8033,0.3153
,3.7060,0.3647,12.9320,0.3177
,3.7330,0.3674,13.0588,0.3199
,3.7970,0.3738,13.1879,0.3241
,3.8320,0.3771,13.3141,0.3270
,3.8680,0.3808,13.4397,0.3315
,3.9030,0.3844,13.5685,0.3325
,3.9400,0.3880,13.6943,0.3346
,3.9660,0.3906,13.8228,0.3367
,3.9920,0.3932,13.9490,0.3387
,4.0770,0.4017,14.0774,0.3437
,4.0970,0.4037,14.2057,0.3447
,4.1130,0.4054,14.3389,0.3459
,4.1600,0.4101,14.4656,0.3506
,4.2080,0.4148,14.5983,0.3542
,4.2680,0.4209,14.7255,0.3553
,4.3120,0.4253,14.8588,0.3558
,4.3260,0.4267,14.9903,0.3560
,4.3800,0.4321,15.1168,0.3606
,4.4120,0.4352,15.2422,0.3621
,4.4780,0.4419,15.3706,0.3644
,4.5010,0.4442,15.4988,0.3661
,4.5420,0.4482,15.6249,0.3689
,4.5860,0.4527,15.7505,0.3715
,4.6230,0.4563,15.8802,0.3737
,4.6810,0.4621,16.0082,0.3784
,4.7090,0.4650,16.1362,0.3794
,4.7510,0.4692,16.2661,0.3821
,4.7630,0.4703,16.3996,0.3831
,4.7990,0.4740,16.5248,0.3876
,4.8420,0.4784,16.6511,0.3892
,4.8770,0.4818,16.7792,0.3920
,4.9020,0.4843,16.9043,0.3953
,4.9640,0.4905,17.0311,0.4046
,5.0060,0.4946,17.1666,0.4070
,5.0330,0.4974,17.2977,0.4078
,5.0680,0.5009,17.4238,0.4115
,5.0900,0.5030,17.5508,0.4146
,5.1270,0.5067,17.6781,0.4184
,5.2500,0.5190,17.8084,0.4302
,5.2640,0.5204,17.9361,0.4315
,5.3060,0.5247,18.0641,0.4375
,5.3330,0.5273,18.1899,0.4419
,5.3530,0.5293,18.3181,0.4439
,5.4100,0.5351,18.4436,0.4500
,5.4240,0.5365,18.5743,0.4519
,5.4440,0.5384,18.7012,0.4537
,5.5050,0.5446,18.8270,0.4616
,5.5660,0.5507,18.9544,0.4687
,5.5830,0.5524,19.0809,0.4714
,5.6470,0.5587,19.2088,0.4818
,5.6800,0.5620,19.3390,0.4854
,5.7410,0.5682,19.4656,0.4924
,5.7810,0.5721,19.5918,0.4979
,5.8100,0.5750,19.7203,0.5033
,5.8670,0.5808,19.8473,0.5127
,5.8840,0.5824,19.9731,0.5154
,5.9160,0.5856,20.0988,0.5186
,5.9710,0.5913,20.2239,0.5262
,6.0200,0.5960,20.3515,0.5337
,6.0750,0.6016,20.4795,0.5413
,6.0990,0.6040,20.6060,0.5448
,6.1270,0.6068,20.7347,0.5468
,6.1880,0.6130,20.8600,0.5507
,6.2110,0.6152,20.9878,0.5526
,6.2750,0.6215,21.1137,0.5605
,6.3100,0.6251,21.2404,0.5638
,6.3700,0.6310,21.3714,0.5687
,6.3880,0.6328,21.4984,0.5702
,6.4600,0.6400,21.6275,0.5781
,6.4780,0.6417,21.7542,0.5796
,6.5100,0.6450,21.8836,0.5812
,6.5600,0.6501,22.0088,0.5840
,6.5860,0.6526,22.1348,0.5861
,6.6130,0.6553,22.2601,0.5891
,6.6850,0.6626,22.3870,0.5915
,6.7360,0.6677,22.5153,0.5940
,6.7560,0.6697,22.6436,0.5957
,6.7970,0.6738,22.7689,0.6000
,6.8630,0.6803,22.8989,0.6048
,6.8790,0.6820,23.0280,0.6062
,6.9160,0.6857,23.1604,0.6094
,6.9490,0.6889,23.2875,0.6111
,7.0020,0.6943,23.4166,0.6133
,7.0520,0.6992,23.5432,0.6141
,7.1080,0.7049,23.6687,0.6170
,7.1210,0.7062,23.8042,0.6181
,7.1950,0.7135,23.9362,0.6214
,7.2290,0.7171,24.0614,0.6221
,7.2750,0.7216,24.1883,0.6248
,7.3180,0.7259,24.3156,0.6273
,7.3600,0.7302,24.4419,0.6305
,7.4180,0.7358,24.5707,0.6337
,7.4580,0.7399,24.6982,0.6343
,7.5130,0.7453,24.8274,0.6368
,7.5290,0.7469,24.9554,0.6385
,7.5470,0.7487,25.0822,0.6401
,7.6160,0.7556,25.2083,0.6428
,7.6370,0.7577,25.3358,0.6446
,7.6990,0.7640,25.4650,0.6497
,7.7330,0.7673,25.5926,0.6515
,7.7920,0.7733,25.7216,0.6579
,7.8110,0.7753,25.8515,0.6597
,7.8960,0.7837,25.9771,0.6665
,7.9330,0.7875,26.1034,0.6692
,7.9710,0.7912,26.2335,0.6731
,8.0040,0.7945,26.3613,0.6774
,8.0380,0.7979,26.4952,0.6816
,8.0760,0.8016,26.6225,0.6852
