Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.03","4.16","41.72","9.87"
2.0,"10.04","4.11","41.26","9.94"
3.0,"10.01","4.17","41.74","7.54"
4.0,"9.99","4.10","40.96","7.55"
5.0,"10.10","4.15","41.91","8.79"
Mean,10.03,4.14,41.52,8.74
Standard deviation,0.04,0.03,0.35,1.06
Coefficient of variation,0.37,0.67,0.85,12.12
