Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.12","4.20","42.50","9.97"
2.0,"10.06","4.16","41.85","9.90"
3.0,"10.02","4.18","41.88","9.28"
4.0,"10.05","4.15","41.71","10.66"
Mean,10.06,4.17,41.99,9.95
Standard deviation,0.04,0.02,0.31,0.49
Coefficient of variation,0.36,0.46,0.73,4.92
