Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.10","4.20","42.42","13.57"
2.0,"10.06","4.14","41.65","11.85"
3.0,"10.00","4.16","41.60","10.49"
4.0,"10.01","4.18","41.84","12.92"
Mean,10.04,4.17,41.88,12.21
Standard deviation,0.04,0.02,0.33,1.17
Coefficient of variation,0.40,0.54,0.78,9.57
