Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.11","4.68","47.31","11.36"
2.0,"10.14","4.59","46.54","10.64"
3.0,"10.10","4.61","46.56","11.54"
Mean,10.12,4.63,46.81,11.18
Standard deviation,0.02,0.04,0.36,0.39
Coefficient of variation,0.17,0.83,0.77,3.46
