Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"4.36","10.18","44.38","44.38"
2.0,"4.27","9.94","42.44","42.44"
3.0,"4.25","9.97","42.37","42.37"
Mean,4.29,10.03,43.07,43.07
Standard deviation,0.05,0.11,0.93,0.93
Coefficient of variation,1.11,1.06,2.16,2.16
