Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.05","4.15","41.71","9.82"
2.0,"10.04","4.17","41.87","10.20"
3.0,"10.06","4.15","41.75","10.68"
Mean,10.05,4.16,41.77,10.23
Standard deviation,0.01,0.01,0.07,0.35
Coefficient of variation,0.08,0.23,0.16,3.42
