Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"4.31","9.90","42.67","42.67"
2.0,"4.17","9.84","41.03","41.03"
3.0,"4.31","9.97","42.97","42.97"
4.0,"4.21","9.99","42.06","42.06"
Mean,4.25,9.93,42.18,42.18
Standard deviation,0.06,0.06,0.74,0.74
Coefficient of variation,1.45,0.60,1.76,1.76
