Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.02","4.14","41.48","10.53"
2.0,"10.07","4.20","42.29","12.36"
3.0,"10.02","4.13","41.38","12.09"
4.0,"9.96","4.16","41.43","9.70"
Mean,10.02,4.16,41.65,11.17
Standard deviation,0.04,0.03,0.37,1.10
Coefficient of variation,0.39,0.64,0.90,9.84
