Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.02","4.17","41.78","11.13"
2.0,"9.98","4.06","40.52","11.38"
3.0,"9.98","4.12","41.12","9.30"
4.0,"9.98","4.17","41.62","11.05"
5.0,"10.03","4.11","41.22","10.39"
Mean,10.00,4.13,41.25,10.65
Standard deviation,0.02,0.04,0.44,0.75
Coefficient of variation,0.22,1.00,1.07,7.01
