Filename,date,orientation,Test speed,powder mix,Max Stress (MPa),Elongation at break (%),Modulus (MPa),Cross Section Area (mm^2)
250108_00_600mm_100_2.csv,250108,00,600mm,100,3.418355612136643,7.805913043478261,1.0390337314602534,47.13
250108_00_600mm_100_3.csv,250108,00,600mm,100,8.841352606035027,218.70478260869567,0.9348450851327463,47.39
250108_00_600mm_100_4.csv,250108,00,600mm,100,8.815712505193186,243.5377391304348,0.9880407322783257,48.14
250108_00_600mm_100_5.csv,250108,00,600mm,100,8.594320337197049,210.2891304347826,1.051673613103588,47.45
250113_45_600mm_100_2.csv,250113,45,600mm,100,7.304884094560477,116.18113043478262,0.9856685381919977,43.57
250113_45_600mm_100_3.csv,250113,45,600mm,100,7.307662397072278,109.40156521739131,1.031652454843246,43.72
250113_90_600mm_100_2.csv,250113,90,600mm,100,6.0999127840257055,51.75921739130435,1.014292157471875,43.57
250113_90_600mm_100_3.csv,250113,90,600mm,100,6.181784080512352,57.43104347826087,1.0104431782766767,43.72
250122_00_600mm_100_2.csv,250122,00,600mm,100,9.15430882352941,265.3867826086957,1.1008842171941735,47.6
250122_00_600mm_100_3.csv,250122,00,600mm,100,9.798598517872712,285.61113043478264,1.116332505975672,45.88
250122_45_600mm_100_3.csv,250122,45,600mm,100,7.19438535309503,133.16504347826088,0.8995666462130005,45.88
250122_45_600mm_100_4.csv,250122,45,600mm,100,7.22889583834496,129.9464347826087,0.976305200817643,41.57
250122_45_600mm_100_5.csv,250122,45,600mm,100,6.975788085293471,133.6766086956522,0.9538671604738125,45.49
250122_90_600mm_100_2.csv,250122,90,600mm,100,6.070285714285714,90.07191304347826,0.9381226908642057,47.6
250122_90_600mm_100_3.csv,250122,90,600mm,100,5.789849607672188,69.83817391304348,0.9610265429445551,45.88
250122_90_600mm_100_4.csv,250122,90,600mm,100,5.797334616309839,64.93182608695652,0.9123449026274485,41.57
250122_90_600mm_100_5.csv,250122,90,600mm,100,5.347474170147285,65.11539130434782,0.8775284239217608,45.49
250123_30_600mm_100_2.csv,250123,30,600mm,100,8.765806606031594,187.92773913043476,1.10064329527994,41.78
250123_30_600mm_100_3.csv,250123,30,600mm,100,8.58938127090301,164.57069565217392,1.0515539875979036,41.86
250123_30_600mm_100_4.csv,250123,30,600mm,100,8.140550918196995,167.46513043478262,1.056620766779593,41.93
250123_60_600mm_100_2.csv,250123,60,600mm,100,7.899222115844902,118.21947826086958,1.0614733958441906,41.78
250123_60_600mm_100_3.csv,250123,60,600mm,100,8.021524128045867,129.7524347826087,1.0802200761191798,41.86
250123_60_600mm_100_4.csv,250123,60,600mm,100,8.0001717147627,116.66843478260868,1.063923285611595,41.93
