Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
7.0,"10.18","4.61","46.93","10.27"
8.0,"10.17","4.68","47.60","12.97"
9.0,"10.15","4.52","45.88","13.45"
13.0,"10.14","4.10","41.57","14.15"
Mean,10.16,4.48,45.49,12.71
Standard deviation,0.02,0.23,2.34,1.47
Coefficient of variation,0.16,5.03,5.15,11.59
