Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"4.30","10.01","43.04","43.04"
2.0,"4.23","9.99","42.26","42.26"
3.0,"4.19","10.05","42.11","42.11"
Mean,4.24,10.02,42.47,42.47
Standard deviation,0.05,0.02,0.41,0.41
Coefficient of variation,1.07,0.25,0.96,0.96
