Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
10.0,"10.13","4.23","42.85","12.42"
11.0,"10.04","4.22","42.37","10.92"
12.0,"10.05","4.16","41.81","11.98"
13.0,"10.10","4.27","43.13","10.49"
14.0,"10.12","4.31","43.62","12.90"
Mean,10.09,4.24,42.75,11.74
Standard deviation,0.04,0.05,0.62,0.90
Coefficient of variation,0.36,1.19,1.46,7.70
