Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.13","4.61","46.70","24.25"
2.0,"10.18","4.63","47.13","9.48"
3.0,"10.17","4.66","47.39","12.18"
4.0,"10.22","4.71","48.14","10.04"
5.0,"10.16","4.67","47.45","10.59"
6.0,"10.15","4.55","46.18","10.60"
Mean,10.17,4.64,47.17,12.86
Standard deviation,0.03,0.05,0.61,5.16
Coefficient of variation,0.27,1.09,1.30,40.15
