Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"4.21","10.01","42.14","42.14"
2.0,"4.17","10.02","41.78","41.78"
3.0,"4.19","9.99","41.86","41.86"
Mean,4.19,10.01,41.93,41.93
Standard deviation,0.02,0.01,0.15,0.15
Coefficient of variation,0.39,0.12,0.37,0.37
