Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"3.98","9.96","39.64","39.64"
2.0,"4.07","10.02","40.78","40.78"
3.0,"4.03","10.04","40.46","40.46"
Mean,4.03,10.01,40.29,40.29
Standard deviation,0.04,0.03,0.48,0.48
Coefficient of variation,0.91,0.34,1.19,1.19
