Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
III,"10.18","4.33","44.08","nan"
IV,"10.14","4.20","42.59","nan"
Mean,10.16,4.27,43.33,nan
Standard deviation,0.02,0.06,0.75,nan
Coefficient of variation,0.20,1.52,1.72,nan
