Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
15.0,"10.00","4.17","41.70","11.35"
16.0,"10.07","4.18","42.09","12.52"
17.0,"10.05","4.22","42.41","13.85"
18.0,"10.08","4.18","42.13","12.67"
19.0,"10.06","4.23","42.55","10.02"
Mean,10.05,4.20,42.18,12.08
Standard deviation,0.03,0.02,0.29,1.30
Coefficient of variation,0.28,0.58,0.70,10.77
