Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
10.0,"10.20","4.68","47.74","12.89"
11.0,"10.15","4.63","46.99","11.79"
12.0,"10.25","4.68","47.97","14.31"
Mean,10.20,4.66,47.57,13.00
Standard deviation,0.04,0.02,0.42,1.03
Coefficient of variation,0.40,0.51,0.87,7.96
