
1,Time,Displacement,Force
,(s),(mm),(N)
"","3.4400","0.0554","0.0597"
"","3.4600","0.0558","-0.0187"
"","3.4800","0.0563","-0.0276"
"","3.5000","0.0566","-0.0143"
"","3.5200","0.0569","0.0080"
"","3.5400","0.0572","-0.0230"
"","3.5600","0.0575","-0.0085"
"","3.5800","0.0578","-0.0025"
"","3.6000","0.0582","0.0096"
"","3.6200","0.0585","-0.0911"
"","3.6400","0.0588","-0.0287"
"","3.6600","0.0591","-0.0527"
"","3.6800","0.0593","0.0487"
"","3.7000","0.0596","0.1077"
"","3.7200","0.0599","-0.0152"
"","3.7400","0.0602","-0.1080"
"","3.7600","0.0606","0.0154"
"","3.7800","0.0610","0.0408"
"","3.8000","0.0614","-0.0013"
"","3.8200","0.0618","0.0728"
"","3.8400","0.0621","0.0728"
"","3.8600","0.0625","0.0306"
"","3.8800","0.0628","0.0235"
"","3.9000","0.0632","0.0191"
"","3.9200","0.0636","0.0502"
"","3.9400","0.0640","-0.0254"
"","3.9600","0.0643","-0.0373"
"","3.9800","0.0646","-0.0163"
"","4.0000","0.0649","0.0011"
"","4.0200","0.0651","-0.0053"
"","4.0400","0.0653","-0.0853"
"","4.0600","0.0656","-0.0485"
"","4.0800","0.0659","0.0042"
"","4.1000","0.0662","0.0343"
"","4.1200","0.0666","0.0428"
"","4.1400","0.0671","0.0708"
"","4.1600","0.0675","0.0449"
"","4.1800","0.0679","0.0725"
"","4.2000","0.0683","0.0448"
"","4.2200","0.0686","0.0388"
"","4.2400","0.0689","0.0917"
"","4.2600","0.0692","0.1413"
"","4.2800","0.0695","0.1277"
"","4.3000","0.0698","0.0141"
"","4.3200","0.0701","-0.0167"
"","4.3400","0.0704","-0.0006"
"","4.3600","0.0707","0.0256"
"","4.3800","0.0710","0.0309"
"","4.4000","0.0713","0.0692"
"","4.4200","0.0716","0.0525"
"","4.4400","0.0719","0.0027"
"","4.4600","0.0723","0.0387"
"","4.4800","0.0727","0.0893"
"","4.5000","0.0731","0.0574"
"","4.5200","0.0735","-0.0053"
"","4.5400","0.0739","-0.0501"
"","4.5600","0.0742","-0.0463"
"","4.5800","0.0745","0.0054"
"","4.6000","0.0749","0.0613"
"","4.6200","0.0753","0.0702"
"","4.6400","0.0756","0.0564"
"","4.6600","0.0759","0.0450"
"","4.6800","0.0762","-0.0301"
"","4.7000","0.0765","-0.0735"
"","4.7200","0.0767","0.0259"
"","4.7400","0.0769","0.0208"
"","4.7600","0.0772","0.0293"
"","4.7800","0.0775","0.0358"
"","4.8000","0.0779","0.0140"
"","4.8200","0.0784","-0.0714"
"","4.8400","0.0789","-0.0395"
"","4.8600","0.0793","-0.0485"
"","4.8800","0.0796","-0.0194"
"","4.9000","0.0799","-0.0365"
"","4.9200","0.0802","0.0119"
"","4.9400","0.0805","0.0071"
"","4.9600","0.0808","-0.0230"
"","4.9800","0.0812","-0.0027"
"","5.0000","0.0815","-0.0096"
"","5.0200","0.0818","-0.0374"
"","5.0400","0.0821","-0.0728"
"","5.0600","0.0823","-0.1252"
"","5.0800","0.0826","-0.1059"
"","5.1000","0.0829","-0.0224"
"","5.1200","0.0832","-0.0153"
"","5.1400","0.0836","-0.0776"
"","5.1600","0.0840","-0.0471"
"","5.1800","0.0844","-0.0051"
"","5.2000","0.0848","-0.0037"
"","5.2200","0.0852","0.0100"
"","5.2400","0.0855","-0.0130"
"","5.2600","0.0859","0.0263"
"","5.2800","0.0863","-0.0125"
"","5.3000","0.0866","-0.0130"
"","5.3200","0.0870","0.0177"
"","5.3400","0.0873","0.0004"
"","5.3600","0.0876","0.0188"
"","5.3800","0.0878","0.0405"
"","5.4000","0.0880","-0.0551"
"","5.4200","0.0883","-0.0422"
"","5.4400","0.0885","0.0433"
"","5.4600","0.0889","0.0481"
"","5.4800","0.0892","0.0406"
"","5.5000","0.0897","0.0866"
"","5.5200","0.0901","0.0808"
"","5.5400","0.0906","0.0067"
"","5.5600","0.0909","0.0052"
"","5.5800","0.0913","0.0142"
"","5.6000","0.0916","0.0145"
"","5.6200","0.0919","0.0876"
"","5.6400","0.0922","0.0904"
"","5.6600","0.0925","-0.0207"
"","5.6800","0.0928","0.0370"
"","5.7000","0.0931","0.0410"
"","5.7200","0.0934","0.0944"
"","5.7400","0.0937","0.0867"
"","5.7600","0.0940","0.0375"
"","5.7800","0.0943","0.0621"
"","5.8000","0.0946","0.0742"
"","5.8200","0.0949","0.0273"
"","5.8400","0.0953","0.0423"
"","5.8600","0.0957","0.0466"
"","5.8800","0.0961","0.0217"
"","5.9000","0.0965","-0.0270"
"","5.9200","0.0968","-0.0916"
"","5.9400","0.0972","-0.0557"
"","5.9600","0.0975","0.0145"
"","5.9800","0.0979","0.0366"
