1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.1454,0.0011
,0.0320,0.0001,-0.0171,0.0014
,0.1140,0.0037,0.1091,0.0018
,0.1530,0.0062,0.2392,0.0040
,0.1960,0.0117,0.3649,0.0071
,0.2160,0.0144,0.4958,0.0081
,0.2460,0.0178,0.6224,0.0102
,0.3130,0.0247,0.7489,0.0159
,0.3340,0.0268,0.8819,0.0181
,0.3520,0.0285,1.0092,0.0203
,0.3780,0.0312,1.1352,0.0245
,0.4460,0.0381,1.2617,0.0424
,0.4690,0.0403,1.3944,0.0468
,0.4840,0.0418,1.5214,0.0495
,0.5370,0.0472,1.6485,0.0569
,0.5940,0.0528,1.7786,0.0633
,0.6060,0.0540,1.9075,0.0655
,0.6610,0.0595,2.0362,0.0700
,0.7250,0.0659,2.1696,0.0757
,0.7410,0.0676,2.2979,0.0759
,0.7690,0.0704,2.4253,0.0754
,0.7830,0.0718,2.5538,0.0759
,0.8480,0.0783,2.6803,0.0794
,0.9150,0.0850,2.8072,0.0947
,0.9370,0.0871,2.9346,0.0931
,0.9680,0.0903,3.0612,0.0904
,1.0170,0.0952,3.1867,0.0918
,1.0370,0.0972,3.3124,0.0935
,1.0570,0.0992,3.4394,0.0960
,1.1110,0.1046,3.5712,0.1000
,1.1330,0.1068,3.6998,0.1016
,1.1870,0.1121,3.8263,0.1040
,1.2400,0.1174,3.9566,0.1092
,1.2530,0.1187,4.0850,0.1103
,1.3040,0.1238,4.2208,0.1144
,1.3150,0.1250,4.3460,0.1151
,1.4000,0.1334,4.4717,0.1233
,1.4400,0.1376,4.6043,0.1279
,1.5100,0.1444,4.7318,0.1334
,1.5440,0.1479,4.8604,0.1374
,1.5630,0.1499,4.9865,0.1394
,1.5760,0.1511,5.1171,0.1407
,1.6650,0.1601,5.2459,0.1459
,1.6830,0.1618,5.3715,0.1474
,1.7270,0.1661,5.4968,0.1512
,1.7650,0.1699,5.6230,0.1530
,1.8210,0.1755,5.7546,0.1574
,1.8390,0.1773,5.8850,0.1583
,1.9210,0.1856,6.0121,0.1625
,1.9370,0.1871,6.1402,0.1643
,1.9870,0.1922,6.2705,0.1693
,2.0020,0.1937,6.3973,0.1699
,2.0980,0.2032,6.5227,0.1795
,2.1130,0.2048,6.6486,0.1818
,2.1250,0.2060,6.7763,0.1833
,2.1630,0.2098,6.9046,0.1870
,2.2520,0.2188,7.0299,0.1952
,2.2950,0.2229,7.1665,0.1986
,2.3040,0.2238,7.2916,0.1994
,2.3670,0.2303,7.4231,0.2068
,2.4120,0.2346,7.5522,0.2129
,2.4310,0.2365,7.6815,0.2152
,2.4890,0.2424,7.8069,0.2197
,2.5490,0.2483,7.9324,0.2242
