3,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.0047,0.0009
,0.1090,0.0036,0.1285,0.0017
,0.1290,0.0046,0.2536,0.0017
,0.1730,0.0091,0.3875,0.0023
,0.2040,0.0134,0.5134,0.0033
,0.2380,0.0174,0.6447,0.0055
,0.2510,0.0187,0.7706,0.0065
,0.3190,0.0257,0.8961,0.0132
,0.3550,0.0293,1.0294,0.0180
,0.3650,0.0303,1.1572,0.0189
,0.4340,0.0372,1.2823,0.0286
,0.4840,0.0421,1.4075,0.0342
,0.4990,0.0436,1.5374,0.0357
,0.5530,0.0491,1.6657,0.0509
,0.5770,0.0515,1.7975,0.0588
,0.5950,0.0532,1.9227,0.0604
,0.6430,0.0581,2.0526,0.0634
,0.6660,0.0604,2.1798,0.0672
,0.6820,0.0620,2.3076,0.0692
,0.7210,0.0659,2.4331,0.0772
,0.7940,0.0733,2.5582,0.0768
,0.8450,0.0783,2.6867,0.0813
,0.8670,0.0805,2.8143,0.0917
,0.9040,0.0843,2.9423,0.1024
,0.9290,0.0868,3.0679,0.1032
,0.9780,0.0917,3.2012,0.1133
,1.0000,0.0939,3.3293,0.1154
,1.0320,0.0970,3.4557,0.1164
,1.0540,0.0991,3.5826,0.1176
,1.1240,0.1062,3.7111,0.1171
,1.1890,0.1126,3.8366,0.1293
,1.2350,0.1173,3.9637,0.1374
,1.2510,0.1189,4.0905,0.1396
,1.3010,0.1238,4.2232,0.1470
,1.3130,0.1250,4.3503,0.1488
,1.3380,0.1277,4.4759,0.1517
,1.4150,0.1353,4.6068,0.1633
,1.4290,0.1367,4.7340,0.1646
,1.4470,0.1386,4.8613,0.1657
,1.5030,0.1441,4.9867,0.1716
,1.5460,0.1484,5.1123,0.1784
,1.5640,0.1503,5.2388,0.1808
,1.6110,0.1550,5.3655,0.1881
,1.6480,0.1585,5.4930,0.1939
,1.7020,0.1641,5.6190,0.2002
,1.7270,0.1665,5.7462,0.2026
,1.7480,0.1686,5.8742,0.2047
,1.8080,0.1746,5.9992,0.2133
,1.8240,0.1762,6.1260,0.2155
,1.8860,0.1823,6.2580,0.2222
,1.9190,0.1858,6.3847,0.2255
,1.9470,0.1886,6.5115,0.2286
,2.0060,0.1944,6.6395,0.2344
,2.0510,0.1990,6.7649,0.2391
,2.1100,0.2048,6.8904,0.2456
,2.1310,0.2069,7.0179,0.2472
,2.1790,0.2118,7.1487,0.2511
,2.2010,0.2139,7.2756,0.2531
,2.2500,0.2188,7.4034,0.2593
,2.3000,0.2238,7.5317,0.2644
,2.3200,0.2258,7.6666,0.2660
,2.3720,0.2310,7.7923,0.2692
