2,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,0.0078,-0.0025
,0.1420,0.0054,0.1380,-0.0031
,0.1640,0.0076,0.2648,-0.0027
,0.1820,0.0100,0.3901,-0.0030
,0.2340,0.0167,0.5190,0.0012
,0.2590,0.0193,0.6477,0.0026
,0.3050,0.0241,0.7740,0.0061
,0.3510,0.0286,0.9016,0.0101
,0.3800,0.0315,1.0274,0.0122
,0.4170,0.0353,1.1550,0.0152
,0.4410,0.0377,1.2828,0.0163
,0.4950,0.0430,1.4103,0.0199
,0.5450,0.0481,1.5367,0.0252
,0.5730,0.0509,1.6664,0.0268
,0.5950,0.0530,1.7936,0.0290
,0.6530,0.0590,1.9245,0.0353
,0.6730,0.0610,2.0518,0.0381
,0.7060,0.0642,2.1777,0.0419
,0.7340,0.0671,2.3048,0.0451
,0.7990,0.0736,2.4357,0.0555
,0.8320,0.0768,2.5640,0.0657
,0.8530,0.0790,2.6908,0.0669
,0.8670,0.0804,2.8163,0.0652
,0.9470,0.0883,2.9439,0.0720
,0.9890,0.0926,3.0722,0.0772
,1.0030,0.0940,3.1986,0.0791
,1.0690,0.1005,3.3292,0.0954
,1.1250,0.1062,3.4583,0.0937
,1.1560,0.1092,3.5835,0.0982
,1.2090,0.1145,3.7147,0.1051
,1.2240,0.1161,3.8405,0.1075
,1.2790,0.1215,3.9656,0.1153
,1.2980,0.1234,4.0935,0.1174
,1.3670,0.1304,4.2238,0.1272
,1.3840,0.1320,4.3544,0.1283
,1.4730,0.1410,4.4840,0.1409
,1.4870,0.1424,4.6203,0.1427
,1.4980,0.1435,4.7454,0.1442
,1.5660,0.1503,4.8736,0.1527
,1.6130,0.1549,4.9992,0.1569
,1.6320,0.1568,5.1254,0.1594
,1.6770,0.1614,5.2541,0.1652
,1.7720,0.1708,5.3825,0.1791
,1.8010,0.1738,5.5160,0.1813
,1.8200,0.1756,5.6428,0.1820
,1.8580,0.1794,5.7683,0.1860
,1.8950,0.1832,5.8962,0.1910
,1.9460,0.1882,6.0258,0.1971
,2.0050,0.1941,6.1517,0.2036
,2.0490,0.1986,6.2829,0.2095
,2.0900,0.2027,6.4098,0.2138
,2.1400,0.2078,6.5407,0.2190
,2.1580,0.2095,6.6683,0.2202
,2.2270,0.2163,6.7974,0.2254
,2.2440,0.2180,6.9302,0.2269
,2.3040,0.2240,7.0570,0.2312
,2.3260,0.2262,7.1890,0.2332
,2.3980,0.2334,7.3152,0.2406
,2.4430,0.2379,7.4438,0.2456
,2.4850,0.2423,7.5733,0.2483
,2.5140,0.2451,7.7005,0.2513
,2.5830,0.2520,7.8264,0.2591
,2.6150,0.2553,7.9538,0.2598
,2.6540,0.2591,8.0865,0.2632
