4,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.0142,0.0028
,0.1220,0.0044,0.1111,0.0038
,0.1650,0.0081,0.2377,0.0044
,0.2000,0.0126,0.3692,0.0057
,0.2340,0.0168,0.4976,0.0056
,0.2650,0.0202,0.6284,0.0065
,0.3040,0.0240,0.7583,0.0094
,0.3220,0.0259,0.8872,0.0107
,0.3380,0.0275,1.0123,0.0115
,0.3880,0.0327,1.1397,0.0160
,0.4770,0.0415,1.2690,0.0246
,0.4920,0.0430,1.3952,0.0257
,0.5270,0.0465,1.5251,0.0282
,0.5410,0.0479,1.6539,0.0291
,0.5970,0.0536,1.7823,0.0352
,0.6170,0.0555,1.9115,0.0382
,0.6750,0.0612,2.0459,0.0502
,0.7070,0.0645,2.1716,0.0468
,0.7550,0.0693,2.2983,0.0504
,0.7760,0.0714,2.4249,0.0526
,0.8080,0.0747,2.5538,0.0559
,0.8980,0.0836,2.6833,0.0648
,0.9140,0.0852,2.8135,0.0663
,0.9620,0.0901,2.9440,0.0696
,0.9870,0.0925,3.0717,0.0713
,1.0730,0.1012,3.1996,0.0771
,1.0890,0.1027,3.3282,0.0787
,1.1030,0.1040,3.4597,0.0797
,1.2020,0.1140,3.5888,0.0864
,1.2310,0.1168,3.7150,0.0895
,1.2470,0.1184,3.8422,0.0907
,1.2830,0.1221,3.9689,0.0938
,1.3260,0.1263,4.0951,0.0979
,1.4130,0.1352,4.2232,0.1060
,1.4390,0.1377,4.3488,0.1093
,1.4700,0.1408,4.4750,0.1140
,1.5010,0.1440,4.6027,0.1191
,1.5610,0.1499,4.7313,0.1268
,1.5910,0.1529,4.8580,0.1304
,1.6450,0.1584,4.9846,0.1361
,1.6690,0.1606,5.1133,0.1376
,1.7120,0.1649,5.2415,0.1417
,1.7590,0.1697,5.3706,0.1474
,1.7970,0.1734,5.4968,0.1525
,1.8880,0.1826,5.6258,0.1637
,1.9030,0.1840,5.7572,0.1659
,1.9590,0.1898,5.8856,0.1732
,1.9750,0.1914,6.0153,0.1747
,2.0170,0.1955,6.1414,0.1797
,2.1120,0.2051,6.2737,0.1911
,2.1380,0.2076,6.4017,0.1932
,2.1900,0.2129,6.5287,0.1983
,2.2200,0.2159,6.6547,0.1997
,2.2700,0.2207,6.7815,0.2037
,2.3410,0.2280,6.9077,0.2128
,2.3550,0.2293,7.0368,0.2143
,2.4330,0.2371,7.1674,0.2223
,2.4660,0.2404,7.2945,0.2279
,2.4890,0.2426,7.4243,0.2316
,2.5440,0.2483,7.5494,0.2377
,2.6040,0.2542,7.6775,0.2436
,2.6340,0.2572,7.8032,0.2470
,2.6850,0.2624,7.9299,0.2538
,2.7300,0.2668,8.0638,0.2604
,2.7840,0.2723,8.1911,0.2673
,2.8200,0.2758,8.3171,0.2711
,2.8520,0.2790,8.4499,0.2746
,2.9090,0.2847,8.5768,0.2774
,2.9910,0.2929,8.7052,0.2823
,3.0130,0.2952,8.8324,0.2840
,3.0580,0.2995,8.9595,0.2881
,3.1360,0.3075,9.0849,0.2955
,3.1640,0.3102,9.2145,0.2976
,3.1980,0.3136,9.3412,0.2991
,3.2290,0.3168,9.4728,0.3016
,3.3070,0.3245,9.6026,0.3107
,3.3260,0.3264,9.7339,0.3115
,3.3560,0.3295,9.8653,0.3145
,3.4440,0.3383,9.9942,0.3243
,3.5070,0.3444,10.1213,0.3294
,3.5500,0.3487,10.2478,0.3319
,3.6260,0.3563,10.3802,0.3384
,3.6720,0.3610,10.5075,0.3409
,3.6930,0.3632,10.6350,0.3428
,3.7240,0.3662,10.7630,0.3460
,3.7630,0.3701,10.8912,0.3491
,3.8130,0.3752,11.0198,0.3518
,3.9240,0.3863,11.1493,0.3591
,3.9380,0.3877,11.2756,0.3605
,4.0220,0.3961,11.4014,0.3657
,4.0580,0.3997,11.5295,0.3693
,4.0740,0.4012,11.6552,0.3705
,4.1240,0.4061,11.7895,0.3744
,4.1860,0.4124,11.9206,0.3792
,4.1990,0.4136,12.0463,0.3805
,4.2780,0.4216,12.1721,0.3885
,4.3720,0.4311,12.3028,0.3970
,4.3970,0.4336,12.4298,0.3992
,4.4330,0.4371,12.5561,0.4026
,4.4750,0.4413,12.6832,0.4069
,4.5600,0.4498,12.8117,0.4144
,4.5840,0.4522,12.9381,0.4170
,4.6870,0.4624,13.0632,0.4264
,4.7110,0.4649,13.1899,0.4287
,4.7290,0.4668,13.3153,0.4299
,4.8150,0.4753,13.4434,0.4388
,4.8280,0.4766,13.5725,0.4401
,4.9410,0.4879,13.7035,0.4533
,4.9660,0.4905,13.8319,0.4560
,5.0070,0.4945,13.9620,0.4601
,5.0880,0.5027,14.0893,0.4665
,5.1080,0.5047,14.2168,0.4685
,5.1560,0.5094,14.3456,0.4733
,5.2030,0.5142,14.4735,0.4776
,5.2310,0.5169,14.6026,0.4800
,5.3380,0.5276,14.7280,0.4925
,5.3680,0.5305,14.8558,0.4958
,5.4290,0.5367,14.9838,0.5020
,5.4900,0.5427,15.1123,0.5099
,5.5060,0.5443,15.2450,0.5118
,5.5200,0.5458,15.3726,0.5134
,5.6340,0.5573,15.5051,0.5237
,5.6920,0.5630,15.6341,0.5289
,5.7620,0.5701,15.7607,0.5368
,5.8080,0.5746,15.8888,0.5409
,5.8570,0.5795,16.0165,0.5459
,5.9300,0.5867,16.1454,0.5522
,5.9550,0.5892,16.2721,0.5552
,6.0100,0.5948,16.3979,0.5616
,6.0680,0.6005,16.5267,0.5677
,6.1490,0.6086,16.6520,0.5754
,6.1830,0.6121,16.7827,0.5792
,6.2000,0.6138,16.9118,0.5804
,6.2620,0.6200,17.0427,0.5833
,6.3500,0.6289,17.1680,0.5906
,6.3990,0.6337,17.2935,0.5971
,6.4330,0.6372,17.4196,0.6010
,6.4580,0.6397,17.5482,0.6043
,6.5240,0.6461,17.6738,0.6100
,6.5890,0.6527,17.8040,0.6140
,6.6590,0.6597,17.9319,0.6200
,6.6760,0.6614,18.0610,0.6209
,6.8050,0.6744,18.1926,0.6319
,6.8270,0.6765,18.3223,0.6328
,6.8550,0.6793,18.4488,0.6349
,6.9530,0.6891,18.5765,0.6425
,6.9910,0.6929,18.7036,0.6459
,7.0210,0.6960,18.8289,0.6482
