1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,0.0196,0.0001
,0.0840,0.0023,0.1475,-0.0005
,0.1770,0.0084,0.2755,0.0019
,0.2030,0.0119,0.4040,0.0025
,0.2190,0.0142,0.5322,0.0029
,0.2480,0.0180,0.6616,0.0039
,0.2700,0.0206,0.7897,0.0035
,0.2840,0.0221,0.9168,0.0031
,0.3310,0.0271,1.0473,0.0050
,0.3440,0.0284,1.1744,0.0064
,0.3930,0.0332,1.3033,0.0147
,0.4280,0.0367,1.4338,0.0182
,0.4520,0.0391,1.5607,0.0187
,0.4660,0.0405,1.6965,0.0192
,0.5160,0.0454,1.8248,0.0223
,0.5340,0.0473,1.9503,0.0233
,0.5840,0.0523,2.0802,0.0288
,0.5940,0.0533,2.2125,0.0308
,0.6080,0.0547,2.3434,0.0341
,0.6570,0.0596,2.4774,0.0431
,0.7220,0.0661,2.6058,0.0482
,0.7360,0.0675,2.7311,0.0499
,0.8130,0.0752,2.8628,0.0588
,0.8240,0.0763,2.9910,0.0602
,0.8340,0.0772,3.1255,0.0608
,0.8990,0.0838,3.2564,0.0702
,0.9080,0.0847,3.3851,0.0715
,0.9200,0.0859,3.5202,0.0733
,0.9830,0.0921,3.6488,0.0781
,1.0000,0.0938,3.7780,0.0814
,1.0680,0.1006,3.9090,0.0917
,1.0860,0.1024,4.0368,0.0933
,1.1060,0.1044,4.1635,0.0952
,1.1430,0.1083,4.2897,0.0993
,1.1590,0.1098,4.4186,0.1024
,1.1900,0.1129,4.5437,0.1075
,1.2290,0.1168,4.6753,0.1122
,1.2720,0.1212,4.8037,0.1205
,1.3200,0.1259,4.9291,0.1269
,1.3350,0.1274,5.0587,0.1288
,1.3500,0.1289,5.1886,0.1297
,1.4270,0.1365,5.3158,0.1361
,1.4370,0.1375,5.4433,0.1376
,1.5200,0.1458,5.5773,0.1471
,1.5310,0.1469,5.7107,0.1477
,1.5820,0.1520,5.8372,0.1518
,1.6030,0.1542,5.9660,0.1541
,1.6530,0.1591,6.0955,0.1601
,1.6710,0.1609,6.2269,0.1629
,1.6940,0.1632,6.3560,0.1678
,1.7520,0.1691,6.4880,0.1814
,1.7630,0.1702,6.6136,0.1839
,1.7760,0.1715,6.7393,0.1864
,1.7900,0.1729,6.8712,0.1879
,1.8870,0.1825,6.9985,0.1972
,1.9150,0.1853,7.1239,0.1997
,1.9420,0.1882,7.2503,0.2017
,1.9820,0.1921,7.3762,0.2050
,2.0170,0.1955,7.5031,0.2088
,2.0510,0.1990,7.6282,0.2117
,2.0720,0.2011,7.7547,0.2126
,2.1480,0.2086,7.8846,0.2205
,2.1670,0.2106,8.0176,0.2222
,2.1790,0.2118,8.1451,0.2227
,2.2130,0.2151,8.2752,0.2255
,2.2790,0.2218,8.4032,0.2342
,2.3020,0.2241,8.5342,0.2379
,2.3660,0.2305,8.6594,0.2405
,2.4250,0.2364,8.7855,0.2435
,2.4490,0.2388,8.9149,0.2436
,2.4690,0.2407,9.0450,0.2437
,2.5050,0.2444,9.1749,0.2459
,2.5370,0.2476,9.3011,0.2473
,2.5780,0.2517,9.4287,0.2478
,2.6030,0.2542,9.5594,0.2565
,2.6620,0.2600,9.6877,0.2610
,2.6970,0.2635,9.8162,0.2829
,2.7210,0.2659,9.9426,0.2857
,2.7700,0.2708,10.0683,0.2653
,2.7900,0.2727,10.1986,0.2979
,2.8120,0.2750,10.3263,0.2735
,2.8420,0.2780,10.4583,0.3971
,2.8730,0.2812,10.5868,0.5142
,2.9350,0.2873,10.7139,0.5257
,2.9630,0.2902,10.8441,0.6425
,3.0240,0.2962,10.9738,0.7205
,3.0460,0.2984,11.1037,0.7310
,3.1110,0.3050,11.2320,0.7024
,3.1330,0.3072,11.3576,0.7342
,3.1870,0.3126,11.4844,0.6921
,3.2450,0.3183,11.6100,0.7253
,3.2580,0.3196,11.7376,0.7258
,3.2770,0.3215,11.8632,0.7116
,3.3260,0.3265,11.9934,0.7351
,3.3820,0.3320,12.1223,0.7100
,3.3990,0.3337,12.2494,0.7162
,3.4540,0.3393,12.3777,0.7211
,3.4670,0.3405,12.5134,0.7201
,3.5340,0.3473,12.6427,0.7425
,3.5870,0.3526,12.7727,0.7802
,3.5980,0.3536,12.9004,0.7787
,3.6580,0.3598,13.0282,0.7748
,3.6750,0.3615,13.1546,0.7738
,3.7350,0.3674,13.2821,0.7251
,3.7640,0.3703,13.4094,0.7082
,3.7940,0.3734,13.5358,0.7037
,3.8400,0.3778,13.6656,0.7083
,3.9120,0.3851,13.7924,0.7092
,3.9270,0.3865,13.9214,0.7121
