Filename,date,orientation,Test speed,powder mix,Max Stress (MPa),Elongation at break (%),Modulus (MPa),Cross Section Area (mm^2)
250212_00_060mm_80_20_segment2.csv,250212,00,060mm,20,9.548148954703834,229.15921739130437,1.0089009819605255,45.92
250212_00_060mm_80_20_segment3.csv,250212,00,060mm,20,9.150920710571924,223.27539130434783,0.9711264603875622,46.16
250212_00_060mm_80_20_segment4.csv,250212,00,060mm,20,9.046911637931036,224.92826086956526,0.9630893887460898,46.4
250212_45_060mm_80_20_segment2.csv,250212,45,060mm,20,7.452697729988052,124.0373043478261,0.9936399869058047,41.85
250212_45_060mm_80_20_segment3.csv,250212,45,060mm,20,6.5299570200573065,96.46608695652175,0.9109569344640642,41.88
250212_45_060mm_80_20_segment4.csv,250212,45,060mm,20,7.415099496523615,124.34939130434783,0.9546360813234073,41.71
250212_45_060mm_80_20_segment5.csv,250212,45,060mm,20,7.576213384139081,115.10547826086956,0.957804521728136,41.99
250212_90_060mm_80_20_segment2.csv,250212,90,060mm,20,5.915584100824043,57.96817391304347,1.0010931292150556,41.26
250212_90_060mm_80_20_segment3.csv,250212,90,060mm,20,5.291193100143746,50.448521739130435,0.9259844884080121,41.74
250212_90_060mm_80_20_segment4.csv,250212,90,060mm,20,5.50928955078125,57.78573913043478,0.9531823714314308,40.96
250212_90_060mm_80_20_segment5.csv,250212,90,060mm,20,4.7892722500596525,45.2915652173913,0.8815132420275287,41.91
250212_90_060mm_80_20_segment6.csv,250212,90,060mm,20,5.452962427745665,52.014782608695654,0.9595559801794291,41.52
250423_30_060mm_80_20_segment2.csv,250423,30,060mm,20,7.015196197903973,100.02191304347825,1.0225177927424922,41.03
250423_30_060mm_80_20_segment3.csv,250423,30,060mm,20,6.422485454968583,91.66973913043478,0.9660073510841165,42.97
250423_30_060mm_80_20_segment4.csv,250423,30,060mm,20,6.762020922491678,111.41539130434784,0.9801439520170596,42.06
250423_60_060mm_80_20_segment2.csv,250423,60,060mm,20,3.665203509627102,28.395652173913042,0.8453877142266736,41.03
250423_60_060mm_80_20_segment3.csv,250423,60,060mm,20,5.010765650453806,32.87530434782609,0.9482767458816597,42.97
250423_60_060mm_80_20_segment4.csv,250423,60,060mm,20,5.250168806466952,34.450086956521744,0.9928715050494311,42.06
