Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","-0.0427","-0.0022"
"","0.0320","0.0011","0.0922","-0.0023"
"","0.0400","0.0029","0.2257","-0.0022"
"","0.0450","0.0048","0.3529","-0.0022"
"","0.0500","0.0072","0.4910","-0.0020"
"","0.0550","0.0103","0.6245","-0.0017"
"","0.0600","0.0139","0.7579","-0.0014"
"","0.0650","0.0179","0.9079","-0.0011"
"","0.0690","0.0213","1.0402","-0.0008"
"","0.0730","0.0248","1.1879","-0.0005"
"","0.0770","0.0284","1.3458","-0.0001"
"","0.0810","0.0321","1.5083","0.0003"
"","0.0840","0.0349","1.6379","0.0006"
"","0.0870","0.0377","1.7698","0.0010"
"","0.0900","0.0404","1.9064","0.0014"
"","0.0930","0.0432","2.0470","0.0018"
"","0.0960","0.0460","2.1823","0.0022"
"","0.0990","0.0488","2.3108","0.0026"
"","0.1020","0.0516","2.4396","0.0031"
"","0.1050","0.0544","2.5710","0.0035"
"","0.1080","0.0572","2.6992","0.0040"
"","0.1110","0.0600","2.8271","0.0045"
"","0.1140","0.0629","2.9585","0.0050"
"","0.1170","0.0657","3.0963","0.0055"
"","0.1200","0.0687","3.2341","0.0062"
"","0.1230","0.0716","3.3732","0.0069"
"","0.1260","0.0746","3.5087","0.0076"
"","0.1290","0.0776","3.6446","0.0085"
"","0.1320","0.0806","3.7772","0.0094"
"","0.1350","0.0837","3.9082","0.0107"
"","0.1380","0.0868","4.0370","0.0130"
"","0.1410","0.0899","4.1640","0.0169"
"","0.1450","0.0941","4.3309","0.0236"
"","0.1480","0.0973","4.4581","0.0296"
"","0.1510","0.1005","4.5846","0.0366"
"","0.1540","0.1037","4.7103","0.0443"
"","0.1570","0.1069","4.8473","0.0524"
"","0.1600","0.1101","4.9898","0.0611"
"","0.1630","0.1133","5.1396","0.0701"
"","0.1660","0.1165","5.2938","0.0790"
"","0.1690","0.1198","5.4486","0.0877"
"","0.1720","0.1230","5.6062","0.0957"
"","0.1750","0.1262","5.7624","0.1032"
"","0.1780","0.1294","5.9037","0.1105"
"","0.1810","0.1326","6.0331","0.1173"
"","0.1840","0.1358","6.1581","0.1237"
"","0.1880","0.1400","6.3185","0.1315"
"","0.1920","0.1442","6.4682","0.1384"
"","0.1960","0.1484","6.6265","0.1448"
"","0.1990","0.1515","6.7524","0.1494"
"","0.2020","0.1546","6.8780","0.1536"
"","0.2060","0.1587","7.0445","0.1588"
"","0.2090","0.1617","7.1768","0.1623"
"","0.2120","0.1648","7.3044","0.1654"
"","0.2150","0.1678","7.4309","0.1683"
"","0.2180","0.1709","7.5567","0.1709"
"","0.2220","0.1749","7.7242","0.1742"
"","0.2250","0.1779","7.8555","0.1765"
"","0.2280","0.1809","7.9875","0.1787"
"","0.2310","0.1839","8.1275","0.1810"
"","0.2340","0.1869","8.2807","0.1834"
"","0.2370","0.1899","8.4400","0.1858"
"","0.2400","0.1929","8.5932","0.1884"
"","0.2430","0.1959","8.7399","0.1909"
"","0.2460","0.1988","8.8816","0.1935"
"","0.2490","0.2018","9.0181","0.1960"
"","0.2520","0.2048","9.1589","0.1985"
"","0.2550","0.2078","9.2921","0.2009"
"","0.2580","0.2108","9.4210","0.2033"
"","0.2610","0.2138","9.5506","0.2056"
"","0.2650","0.2178","9.7101","0.2084"
"","0.2690","0.2218","9.8606","0.2110"
"","0.2730","0.2258","10.0013","0.2134"
"","0.2770","0.2298","10.1390","0.2158"
"","0.2810","0.2338","10.2766","0.2180"
"","0.2850","0.2378","10.4073","0.2202"
"","0.2890","0.2418","10.5568","0.2225"
"","0.2930","0.2458","10.7220","0.2245"
"","0.2960","0.2488","10.8537","0.2260"
"","0.2990","0.2518","10.9888","0.2276"
"","0.3020","0.2548","11.1239","0.2292"
"","0.3050","0.2578","11.2553","0.2309"
"","0.3080","0.2608","11.3820","0.2329"
"","0.3120","0.2648","11.5406","0.2357"
"","0.3160","0.2689","11.6978","0.2388"
"","0.3200","0.2729","11.8534","0.2420"
"","0.3240","0.2769","12.0185","0.2454"
"","0.3270","0.2799","12.1505","0.2480"
"","0.3300","0.2829","12.2802","0.2508"
"","0.3330","0.2859","12.4091","0.2538"
"","0.3360","0.2890","12.5384","0.2568"
"","0.3390","0.2920","12.6720","0.2598"
"","0.3420","0.2950","12.8098","0.2628"
"","0.3450","0.2980","12.9400","0.2658"
"","0.3480","0.3010","13.0669","0.2688"
"","0.3510","0.3040","13.1919","0.2719"
"","0.3550","0.3080","13.3557","0.2760"
"","0.3590","0.3120","13.5150","0.2799"
"","0.3630","0.3160","13.6670","0.2837"
"","0.3670","0.3200","13.8234","0.2873"
"","0.3710","0.3240","13.9847","0.2908"
"","0.3750","0.3281","14.1514","0.2944"
"","0.3790","0.3321","14.3139","0.2980"
"","0.3830","0.3361","14.4625","0.3019"
"","0.3870","0.3401","14.6063","0.3059"
"","0.3910","0.3441","14.7563","0.3102"
"","0.3950","0.3480","14.9020","0.3146"
"","0.3990","0.3520","15.0518","0.3189"
"","0.4030","0.3560","15.2005","0.3231"
"","0.4070","0.3600","15.3589","0.3273"
"","0.4100","0.3630","15.4856","0.3304"
"","0.4130","0.3660","15.6119","0.3336"
"","0.4170","0.3700","15.7569","0.3379"
"","0.4210","0.3740","15.9050","0.3425"
"","0.4250","0.3780","16.0638","0.3474"
"","0.4290","0.3820","16.2145","0.3526"
"","0.4330","0.3860","16.3750","0.3578"
"","0.4360","0.3890","16.5026","0.3617"
"","0.4400","0.3930","16.6643","0.3671"
"","0.4440","0.3970","16.8128","0.3724"
"","0.4480","0.4010","16.9601","0.3776"
"","0.4520","0.4050","17.0992","0.3825"
"","0.4560","0.4090","17.2442","0.3870"
"","0.4600","0.4129","17.3873","0.3912"
"","0.4640","0.4169","17.5247","0.3952"
"","0.4680","0.4209","17.6754","0.3989"
"","0.4720","0.4249","17.8389","0.4027"
"","0.4760","0.4289","18.0028","0.4066"
"","0.4800","0.4329","18.1609","0.4107"
"","0.4840","0.4369","18.3217","0.4150"
"","0.4880","0.4409","18.4811","0.4194"
"","0.4920","0.4449","18.6465","0.4241"
"","0.4960","0.4489","18.8067","0.4288"
"","0.5000","0.4529","18.9667","0.4333"
"","0.5030","0.4559","19.0950","0.4367"
"","0.5060","0.4589","19.2290","0.4400"
"","0.5090","0.4619","19.3635","0.4432"
"","0.5120","0.4649","19.4964","0.4465"
"","0.5150","0.4679","19.6222","0.4496"
"","0.5190","0.4719","19.7793","0.4537"
"","0.5230","0.4759","19.9309","0.4579"
"","0.5270","0.4799","20.0780","0.4620"
"","0.5310","0.4839","20.2189","0.4662"
"","0.5350","0.4879","20.3690","0.4703"
"","0.5390","0.4919","20.5280","0.4746"
"","0.5430","0.4959","20.6855","0.4791"
"","0.5470","0.4999","20.8480","0.4836"
"","0.5510","0.5039","20.9954","0.4879"
"","0.5550","0.5079","21.1422","0.4922"
"","0.5590","0.5119","21.3062","0.4963"
"","0.5630","0.5160","21.4705","0.4999"
"","0.5670","0.5200","21.6287","0.5032"
"","0.5710","0.5240","21.7780","0.5062"
"","0.5750","0.5280","21.9204","0.5091"
"","0.5790","0.5320","22.0519","0.5121"
"","0.5830","0.5360","22.1894","0.5153"
"","0.5870","0.5400","22.3368","0.5187"
"","0.5910","0.5440","22.4888","0.5221"
"","0.5950","0.5480","22.6470","0.5255"
"","0.5990","0.5520","22.8050","0.5290"
"","0.6030","0.5560","22.9566","0.5326"
"","0.6070","0.5600","23.1050","0.5363"
"","0.6110","0.5640","23.2535","0.5399"
"","0.6150","0.5680","23.4009","0.5436"
"","0.6190","0.5720","23.5547","0.5472"
"","0.6230","0.5760","23.6985","0.5509"
"","0.6270","0.5801","23.8434","0.5547"
"","0.6310","0.5841","23.9928","0.5585"
"","0.6350","0.5881","24.1315","0.5621"
"","0.6390","0.5920","24.2752","0.5655"
"","0.6430","0.5960","24.4168","0.5686"
"","0.6470","0.6000","24.5632","0.5713"
"","0.6510","0.6040","24.7016","0.5738"
"","0.6550","0.6080","24.8479","0.5761"
"","0.6590","0.6120","24.9888","0.5786"
"","0.6630","0.6160","25.1253","0.5813"
"","0.6670","0.6200","25.2656","0.5843"
"","0.6710","0.6240","25.4137","0.5875"
"","0.6750","0.6280","25.5576","0.5908"
"","0.6790","0.6320","25.7038","0.5940"
"","0.6830","0.6360","25.8559","0.5974"
"","0.6870","0.6400","26.0086","0.6008"
"","0.6910","0.6440","26.1637","0.6041"
"","0.6950","0.6480","26.3187","0.6072"
"","0.6990","0.6520","26.4758","0.6105"
"","0.7030","0.6560","26.6117","0.6142"
"","0.7080","0.6610","26.7680","0.6194"
"","0.7120","0.6649","26.9018","0.6241"
"","0.7160","0.6689","27.0284","0.6291"
"","0.7200","0.6729","27.1559","0.6341"
"","0.7240","0.6769","27.3045","0.6391"
"","0.7280","0.6809","27.4539","0.6441"
"","0.7320","0.6849","27.6052","0.6491"
"","0.7360","0.6889","27.7715","0.6538"
"","0.7400","0.6929","27.9315","0.6585"
"","0.7440","0.6969","28.0823","0.6630"
"","0.7480","0.7009","28.2199","0.6673"
"","0.7520","0.7049","28.3591","0.6715"
"","0.7560","0.7089","28.5030","0.6755"
"","0.7600","0.7129","28.6452","0.6794"
"","0.7640","0.7169","28.7907","0.6832"
"","0.7680","0.7209","28.9377","0.6871"
"","0.7720","0.7249","29.0937","0.6910"
"","0.7760","0.7289","29.2509","0.6948"
"","0.7800","0.7329","29.4086","0.6988"
"","0.7840","0.7369","29.5649","0.7027"
"","0.7880","0.7409","29.7106","0.7067"
"","0.7920","0.7449","29.8554","0.7108"
"","0.7960","0.7490","29.9898","0.7149"
"","0.8000","0.7530","30.1192","0.7190"
"","0.8040","0.7570","30.2548","0.7230"
"","0.8080","0.7610","30.3938","0.7271"
"","0.8120","0.7650","30.5213","0.7310"
"","0.8160","0.7690","30.6472","0.7350"
"","0.8210","0.7740","30.8027","0.7398"
"","0.8250","0.7780","30.9283","0.7436"
"","0.8300","0.7830","31.0794","0.7484"
"","0.8340","0.7870","31.2073","0.7522"
"","0.8380","0.7910","31.3379","0.7560"
"","0.8420","0.7950","31.4792","0.7597"
"","0.8460","0.7990","31.6298","0.7633"
"","0.8500","0.8030","31.7862","0.7669"
"","0.8540","0.8070","31.9468","0.7704"
"","0.8580","0.8110","32.1089","0.7741"
"","0.8620","0.8150","32.2702","0.7777"
"","0.8660","0.8190","32.4245","0.7812"
"","0.8700","0.8230","32.5830","0.7847"
"","0.8740","0.8270","32.7339","0.7882"
"","0.8780","0.8310","32.8827","0.7917"
"","0.8820","0.8350","33.0213","0.7952"
"","0.8860","0.8390","33.1570","0.7987"
"","0.8900","0.8430","33.2875","0.8022"
"","0.8940","0.8470","33.4257","0.8057"
"","0.8980","0.8510","33.5693","0.8093"
"","0.9020","0.8550","33.7021","0.8128"
"","0.9060","0.8590","33.8384","0.8164"
"","0.9100","0.8630","33.9711","0.8199"
"","0.9140","0.8670","34.1090","0.8234"
"","0.9180","0.8710","34.2547","0.8269"
"","0.9220","0.8750","34.4058","0.8304"
"","0.9260","0.8790","34.5525","0.8338"
"","0.9300","0.8830","34.6826","0.8371"
"","0.9340","0.8870","34.8117","0.8405"
"","0.9380","0.8910","34.9438","0.8439"
"","0.9420","0.8950","35.0744","0.8474"
"","0.9460","0.8990","35.2086","0.8508"
"","0.9500","0.9030","35.3533","0.8542"
"","0.9540","0.9070","35.4938","0.8577"
"","0.9580","0.9110","35.6302","0.8611"
"","0.9620","0.9150","35.7662","0.8647"
"","0.9660","0.9190","35.9084","0.8682"
"","0.9700","0.9230","36.0428","0.8717"
"","0.9750","0.9280","36.1931","0.8761"
"","0.9800","0.9330","36.3425","0.8805"
"","0.9840","0.9370","36.4763","0.8840"
"","0.9880","0.9410","36.6050","0.8875"
"","0.9920","0.9450","36.7353","0.8910"
"","0.9960","0.9490","36.8649","0.8946"
"","1.0010","0.9540","37.0160","0.8990"
"","1.0050","0.9580","37.1455","0.9025"
"","1.0090","0.9620","37.2727","0.9060"
"","1.0140","0.9670","37.4268","0.9104"
"","1.0190","0.9720","37.5838","0.9148"
"","1.0230","0.9760","37.7206","0.9182"
"","1.0270","0.9800","37.8592","0.9217"
"","1.0310","0.9840","37.9928","0.9252"
"","1.0350","0.9880","38.1309","0.9287"
"","1.0390","0.9920","38.2855","0.9322"
"","1.0430","0.9960","38.4283","0.9358"
"","1.0470","1.0000","38.5744","0.9395"
"","1.0510","1.0040","38.7152","0.9433"
"","1.0550","1.0080","38.8564","0.9472"
"","1.0590","1.0120","38.9816","0.9511"
"","1.0640","1.0170","39.1362","0.9559"
"","1.0690","1.0220","39.2870","0.9608"
"","1.0740","1.0270","39.4349","0.9656"
"","1.0790","1.0320","39.5725","0.9705"
"","1.0840","1.0370","39.7160","0.9755"
"","1.0880","1.0410","39.8442","0.9795"
"","1.0920","1.0450","39.9912","0.9835"
"","1.0960","1.0490","40.1435","0.9875"
"","1.1000","1.0530","40.2922","0.9916"
"","1.1040","1.0570","40.4408","0.9957"
"","1.1080","1.0610","40.5827","0.9999"
"","1.1120","1.0650","40.7363","1.0042"
"","1.1160","1.0690","40.8734","1.0084"
"","1.1200","1.0730","40.9995","1.0126"
"","1.1240","1.0769","41.1253","1.0167"
"","1.1280","1.0809","41.2625","1.0208"
"","1.1320","1.0849","41.3982","1.0248"
"","1.1360","1.0889","41.5367","1.0289"
"","1.1400","1.0929","41.6678","1.0329"
"","1.1440","1.0969","41.7998","1.0370"
"","1.1480","1.1009","41.9349","1.0410"
"","1.1520","1.1049","42.0715","1.0449"
"","1.1560","1.1089","42.2105","1.0488"
"","1.1600","1.1129","42.3431","1.0526"
"","1.1640","1.1170","42.4795","1.0564"
"","1.1680","1.1210","42.6075","1.0602"
"","1.1730","1.1260","42.7643","1.0649"
"","1.1770","1.1300","42.8945","1.0686"
"","1.1810","1.1340","43.0207","1.0723"
"","1.1850","1.1380","43.1499","1.0760"
"","1.1890","1.1419","43.2780","1.0797"
"","1.1930","1.1459","43.4044","1.0835"
"","1.1980","1.1509","43.5604","1.0881"
"","1.2020","1.1549","43.6884","1.0918"
"","1.2060","1.1589","43.8225","1.0954"
"","1.2100","1.1629","43.9542","1.0989"
"","1.2150","1.1679","44.0877","1.1033"
"","1.2200","1.1729","44.2234","1.1076"
"","1.2240","1.1769","44.3523","1.1110"
"","1.2280","1.1809","44.5016","1.1144"
"","1.2320","1.1849","44.6498","1.1177"
"","1.2360","1.1889","44.7908","1.1212"
"","1.2400","1.1929","44.9269","1.1246"
"","1.2440","1.1969","45.0616","1.1282"
"","1.2480","1.2009","45.1878","1.1317"
"","1.2520","1.2049","45.3145","1.1353"
"","1.2570","1.2099","45.4631","1.1399"
"","1.2620","1.2149","45.6110","1.1444"
"","1.2680","1.2209","45.7586","1.1499"
"","1.2730","1.2259","45.8847","1.1545"
"","1.2780","1.2309","46.0238","1.1590"
"","1.2830","1.2359","46.1685","1.1635"
"","1.2880","1.2409","46.3177","1.1680"
"","1.2930","1.2459","46.4697","1.1724"
"","1.2980","1.2509","46.6247","1.1769"
"","1.3020","1.2549","46.7519","1.1805"
"","1.3060","1.2589","46.8976","1.1842"
"","1.3100","1.2629","47.0450","1.1878"
"","1.3140","1.2670","47.1788","1.1914"
"","1.3180","1.2710","47.3166","1.1950"
"","1.3220","1.2750","47.4447","1.1986"
"","1.3270","1.2800","47.5895","1.2031"
"","1.3320","1.2850","47.7321","1.2077"
"","1.3360","1.2890","47.8628","1.2114"
"","1.3400","1.2930","47.9928","1.2152"
"","1.3440","1.2970","48.1213","1.2190"
"","1.3480","1.3010","48.2505","1.2227"
"","1.3520","1.3050","48.3851","1.2265"
"","1.3560","1.3090","48.5235","1.2303"
"","1.3600","1.3130","48.6738","1.2341"
"","1.3640","1.3170","48.8266","1.2378"
"","1.3680","1.3210","48.9774","1.2414"
"","1.3720","1.3250","49.1274","1.2451"
"","1.3760","1.3290","49.2633","1.2489"
"","1.3810","1.3340","49.4125","1.2537"
"","1.3860","1.3390","49.5489","1.2585"
"","1.3910","1.3440","49.6937","1.2633"
"","1.3950","1.3480","49.8268","1.2671"
"","1.3990","1.3520","49.9574","1.2710"
"","1.4030","1.3560","50.0858","1.2749"
"","1.4080","1.3610","50.2337","1.2798"
"","1.4130","1.3660","50.3600","1.2846"
"","1.4180","1.3710","50.5114","1.2895"
"","1.4230","1.3760","50.6525","1.2945"
"","1.4280","1.3810","50.7824","1.2995"
"","1.4330","1.3860","50.9300","1.3044"
"","1.4370","1.3899","51.0572","1.3084"
"","1.4410","1.3939","51.1883","1.3122"
"","1.4460","1.3989","51.3179","1.3170"
"","1.4510","1.4039","51.4561","1.3218"
"","1.4560","1.4089","51.5977","1.3266"
"","1.4600","1.4129","51.7255","1.3305"
"","1.4650","1.4180","51.8796","1.3352"
"","1.4690","1.4220","52.0086","1.3389"
"","1.4740","1.4270","52.1607","1.3434"
"","1.4780","1.4309","52.2895","1.3471"
"","1.4830","1.4359","52.4386","1.3516"
"","1.4880","1.4409","52.5847","1.3561"
"","1.4920","1.4449","52.7154","1.3596"
"","1.4960","1.4489","52.8467","1.3632"
"","1.5010","1.4539","52.9990","1.3676"
"","1.5060","1.4589","53.1486","1.3720"
"","1.5100","1.4629","53.2797","1.3754"
"","1.5140","1.4670","53.4171","1.3787"
"","1.5190","1.4720","53.5715","1.3828"
"","1.5240","1.4770","53.7106","1.3868"
