Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","0.0136","-0.0014"
"","0.0270","0.0004","0.1389","-0.0027"
"","0.0380","0.0021","0.2644","-0.0037"
"","0.0480","0.0056","0.3970","-0.0044"
"","0.0550","0.0096","0.5373","-0.0044"
"","0.0610","0.0138","0.6833","-0.0042"
"","0.0660","0.0178","0.8111","-0.0039"
"","0.0720","0.0230","0.9570","-0.0036"
"","0.0780","0.0284","1.1086","-0.0033"
"","0.0830","0.0330","1.2499","-0.0029"
"","0.0870","0.0367","1.3780","-0.0025"
"","0.0910","0.0404","1.5138","-0.0021"
"","0.0950","0.0441","1.6641","-0.0015"
"","0.0990","0.0478","1.8306","-0.0009"
"","0.1020","0.0506","1.9572","-0.0004"
"","0.1050","0.0534","2.0859","0.0001"
"","0.1080","0.0562","2.2167","0.0007"
"","0.1110","0.0590","2.3435","0.0013"
"","0.1150","0.0628","2.5018","0.0022"
"","0.1190","0.0666","2.6574","0.0031"
"","0.1230","0.0705","2.8054","0.0041"
"","0.1270","0.0744","2.9563","0.0051"
"","0.1310","0.0784","3.0906","0.0062"
"","0.1350","0.0824","3.2207","0.0074"
"","0.1390","0.0865","3.3566","0.0085"
"","0.1430","0.0907","3.4966","0.0098"
"","0.1470","0.0949","3.6354","0.0112"
"","0.1510","0.0991","3.7874","0.0127"
"","0.1550","0.1034","3.9514","0.0143"
"","0.1580","0.1066","4.0873","0.0159"
"","0.1610","0.1098","4.2250","0.0190"
"","0.1640","0.1131","4.3552","0.0238"
"","0.1680","0.1174","4.5184","0.0326"
"","0.1720","0.1217","4.6864","0.0442"
"","0.1750","0.1249","4.8188","0.0536"
"","0.1790","0.1292","4.9724","0.0662"
"","0.1830","0.1335","5.1163","0.0801"
"","0.1870","0.1377","5.2720","0.0954"
"","0.1910","0.1419","5.4327","0.1109"
"","0.1940","0.1451","5.5591","0.1226"
"","0.1980","0.1493","5.7160","0.1380"
"","0.2020","0.1534","5.8630","0.1525"
"","0.2060","0.1575","6.0175","0.1663"
"","0.2100","0.1616","6.1811","0.1796"
"","0.2140","0.1657","6.3396","0.1918"
"","0.2180","0.1698","6.4899","0.2016"
"","0.2220","0.1738","6.6396","0.2095"
"","0.2260","0.1779","6.7836","0.2161"
"","0.2300","0.1819","6.9224","0.2214"
"","0.2340","0.1859","7.0712","0.2256"
"","0.2380","0.1899","7.2266","0.2290"
"","0.2420","0.1939","7.3777","0.2318"
"","0.2460","0.1978","7.5137","0.2344"
"","0.2510","0.2028","7.6679","0.2374"
"","0.2560","0.2078","7.8229","0.2401"
"","0.2600","0.2118","7.9523","0.2421"
"","0.2640","0.2158","8.0870","0.2440"
"","0.2680","0.2198","8.2122","0.2460"
"","0.2730","0.2248","8.3519","0.2492"
"","0.2780","0.2298","8.4952","0.2530"
"","0.2820","0.2338","8.6373","0.2564"
"","0.2860","0.2378","8.7973","0.2602"
"","0.2900","0.2418","8.9541","0.2640"
"","0.2940","0.2458","9.1118","0.2676"
"","0.2970","0.2488","9.2384","0.2702"
"","0.3000","0.2518","9.3685","0.2726"
"","0.3040","0.2558","9.5258","0.2757"
"","0.3080","0.2598","9.6717","0.2786"
"","0.3120","0.2638","9.8156","0.2817"
"","0.3160","0.2679","9.9560","0.2849"
"","0.3210","0.2729","10.1085","0.2895"
"","0.3260","0.2779","10.2525","0.2944"
"","0.3310","0.2829","10.4043","0.2994"
"","0.3360","0.2879","10.5601","0.3045"
"","0.3400","0.2919","10.6905","0.3088"
"","0.3440","0.2959","10.8196","0.3133"
"","0.3480","0.2999","10.9617","0.3180"
"","0.3520","0.3039","11.1000","0.3228"
"","0.3560","0.3079","11.2524","0.3277"
"","0.3600","0.3119","11.4109","0.3326"
"","0.3640","0.3159","11.5620","0.3376"
"","0.3680","0.3199","11.7129","0.3425"
"","0.3720","0.3239","11.8603","0.3474"
"","0.3760","0.3279","12.0080","0.3524"
"","0.3800","0.3319","12.1537","0.3575"
"","0.3840","0.3359","12.2952","0.3626"
"","0.3880","0.3399","12.4369","0.3677"
"","0.3920","0.3439","12.5745","0.3730"
"","0.3960","0.3479","12.7062","0.3780"
"","0.4000","0.3519","12.8430","0.3827"
"","0.4040","0.3559","12.9814","0.3872"
"","0.4080","0.3599","13.1206","0.3913"
"","0.4120","0.3639","13.2595","0.3952"
