Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","0.0716","-0.0033"
"","0.1520","0.0066","0.1991","0.0000"
"","0.2020","0.0133","0.3304","0.0063"
"","0.2160","0.0150","0.4562","0.0086"
"","0.2420","0.0179","0.5819","0.0133"
"","0.2630","0.0202","0.7089","0.0163"
"","0.2920","0.0230","0.8357","0.0212"
"","0.3250","0.0263","0.9623","0.0275"
"","0.3470","0.0285","1.0914","0.0326"
"","0.3830","0.0322","1.1913","0.0399"
2,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","0.0409","-0.0033"
"","0.0050","0.0000","0.0439","-0.0032"
"","0.0100","0.0000","0.0855","-0.0031"
"","0.0150","0.0003","0.1638","-0.0030"
"","0.0200","0.0010","0.2634","-0.0028"
"","0.0250","0.0025","0.3952","-0.0027"
"","0.0290","0.0044","0.5326","-0.0025"
"","0.0320","0.0065","0.6577","-0.0023"
"","0.0350","0.0091","0.7976","-0.0021"
"","0.0380","0.0123","0.9573","-0.0019"
"","0.0410","0.0162","1.1378","-0.0015"
"","0.0430","0.0191","1.2726","-0.0011"
"","0.0450","0.0224","1.4165","-0.0003"
"","0.0470","0.0260","1.5700","0.0009"
"","0.0490","0.0300","1.7335","0.0027"
"","0.0510","0.0342","1.9066","0.0057"
"","0.0530","0.0389","2.0931","0.0103"
"","0.0550","0.0439","2.2925","0.0167"
"","0.0570","0.0493","2.4986","0.0249"
"","0.0590","0.0550","2.7106","0.0351"
"","0.0610","0.0611","2.9329","0.0471"
"","0.0630","0.0676","3.1627","0.0607"
"","0.0650","0.0744","3.3966","0.0760"
"","0.0670","0.0817","3.6401","0.0926"
"","0.0680","0.0854","3.7677","0.1013"
"","0.0690","0.0893","3.8995","0.1103"
"","0.0700","0.0932","4.0355","0.1196"
"","0.0710","0.0972","4.1760","0.1292"
"","0.0720","0.1014","4.3212","0.1390"
"","0.0730","0.1056","4.4710","0.1490"
"","0.0740","0.1099","4.6251","0.1592"
"","0.0750","0.1143","4.7836","0.1694"
"","0.0760","0.1188","4.9461","0.1799"
"","0.0770","0.1234","5.1121","0.1904"
"","0.0780","0.1281","5.2809","0.2010"
"","0.0790","0.1328","5.4518","0.2117"
"","0.0800","0.1377","5.6251","0.2225"
"","0.0810","0.1427","5.8013","0.2333"
"","0.0820","0.1477","5.9815","0.2443"
"","0.0830","0.1529","6.1664","0.2553"
"","0.0840","0.1581","6.3560","0.2663"
"","0.0850","0.1634","6.5496","0.2774"
"","0.0860","0.1688","6.7460","0.2885"
"","0.0870","0.1743","6.9447","0.2996"
"","0.0880","0.1799","7.1463","0.3106"
"","0.0890","0.1856","7.3514","0.3216"
"","0.0900","0.1914","7.5601","0.3325"
"","0.0910","0.1973","7.7720","0.3432"
"","0.0920","0.2032","7.9866","0.3539"
"","0.0930","0.2092","8.2039","0.3644"
"","0.0940","0.2154","8.4239","0.3748"
"","0.0950","0.2216","8.6472","0.3850"
"","0.0960","0.2279","8.8742","0.3952"
"","0.0970","0.2343","9.1048","0.4053"
"","0.0980","0.2408","9.3386","0.4154"
"","0.0990","0.2474","9.5757","0.4254"
"","0.1000","0.2540","9.8166","0.4353"
"","0.1010","0.2608","10.0614","0.4452"
"","0.1020","0.2676","10.3103","0.4551"
"","0.1030","0.2745","10.5630","0.4650"
"","0.1040","0.2815","10.8191","0.4749"
"","0.1050","0.2886","11.0781","0.4849"
"","0.1060","0.2958","11.3397","0.4949"
"","0.1070","0.3030","11.6042","0.5049"
"","0.1080","0.3104","11.8721","0.5149"
"","0.1090","0.3178","12.1432","0.5249"
"","0.1100","0.3253","12.4172","0.5349"
"","0.1110","0.3329","12.6938","0.5449"
"","0.1120","0.3406","12.9729","0.5549"
"","0.1130","0.3484","13.2546","0.5649"
"","0.1140","0.3562","13.5387","0.5749"
"","0.1150","0.3642","13.8247","0.5849"
"","0.1160","0.3722","14.1123","0.5947"
"","0.1170","0.3803","14.4019","0.6046"
"","0.1180","0.3885","14.6944","0.6144"
"","0.1190","0.3968","14.9905","0.6241"
"","0.1200","0.4051","15.2904","0.6339"
"","0.1210","0.4136","15.5934","0.6437"
"","0.1220","0.4221","15.8990","0.6535"
"","0.1230","0.4307","16.2064","0.6634"
"","0.1240","0.4394","16.5155","0.6733"
"","0.1250","0.4481","16.8269","0.6832"
"","0.1260","0.4570","17.1406","0.6930"
"","0.1270","0.4659","17.4562","0.7030"
"","0.1280","0.4749","17.7722","0.7130"
"","0.1290","0.4840","18.0879","0.7231"
"","0.1300","0.4931","18.4036","0.7333"
"","0.1310","0.5024","18.7205","0.7437"
"","0.1320","0.5117","19.0393","0.7541"
"","0.1330","0.5210","19.3602","0.7647"
"","0.1340","0.5304","19.6829","0.7754"
"","0.1350","0.5399","20.0071","0.7862"
"","0.1360","0.5495","20.3326","0.7970"
"","0.1370","0.5590","20.6593","0.8079"
"","0.1380","0.5687","20.9870","0.8188"
"","0.1390","0.5784","21.3151","0.8298"
"","0.1400","0.5881","21.6435","0.8407"
"","0.1410","0.5979","21.9718","0.8516"
"","0.1420","0.6077","22.3006","0.8626"
"","0.1430","0.6175","22.6301","0.8737"
"","0.1440","0.6274","22.9601","0.8850"
"","0.1450","0.6373","23.2899","0.8963"
"","0.1460","0.6472","23.6190","0.9077"
"","0.1470","0.6572","23.9472","0.9193"
"","0.1480","0.6671","24.2747","0.9308"
"","0.1490","0.6771","24.6023","0.9424"
"","0.1500","0.6871","24.9307","0.9539"
"","0.1510","0.6971","25.2599","0.9653"
"","0.1520","0.7071","25.5885","0.9767"
"","0.1530","0.7171","25.9160","0.9881"
"","0.1540","0.7271","26.2428","0.9995"
"","0.1550","0.7372","26.5692","1.0110"
"","0.1560","0.7472","26.8954","1.0225"
"","0.1570","0.7572","27.2211","1.0340"
"","0.1580","0.7672","27.5465","1.0455"
"","0.1590","0.7772","27.8719","1.0568"
"","0.1600","0.7873","28.1974","1.0681"
"","0.1610","0.7973","28.5231","1.0792"
"","0.1620","0.8073","28.8491","1.0902"
"","0.1630","0.8172","29.1754","1.1011"
"","0.1640","0.8272","29.5016","1.1119"
"","0.1650","0.8372","29.8278","1.1226"
"","0.1660","0.8472","30.1534","1.1331"
"","0.1670","0.8571","30.4787","1.1436"
"","0.1680","0.8671","30.8036","1.1539"
"","0.1690","0.8770","31.1280","1.1641"
"","0.1700","0.8869","31.4515","1.1742"
"","0.1710","0.8969","31.7741","1.1842"
"","0.1720","0.9068","32.0970","1.1940"
"","0.1730","0.9167","32.4208","1.2038"
"","0.1740","0.9265","32.7459","1.2134"
"","0.1750","0.9364","33.0712","1.2230"
"","0.1760","0.9463","33.3960","1.2325"
"","0.1770","0.9562","33.7207","1.2418"
