Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","0.0408","0.0021"
"","0.1260","0.0042","0.1671","0.0023"
"","0.1440","0.0054","0.2987","0.0022"
"","0.1630","0.0073","0.4240","0.0024"
"","0.2240","0.0155","0.5570","0.0040"
"","0.2350","0.0168","0.6952","0.0042"
"","0.2530","0.0187","0.8205","0.0048"
"","0.2750","0.0209","0.9466","0.0060"
"","0.3060","0.0241","1.0739","0.0078"
"","0.3560","0.0293","1.2007","0.0111"
"","0.3790","0.0316","1.3325","0.0138"
"","0.4060","0.0344","1.4599","0.0202"
"","0.4200","0.0358","1.5883","0.0235"
"","0.4640","0.0403","1.7193","0.0285"
"","0.5170","0.0455","1.8498","0.0352"
"","0.5310","0.0469","1.9749","0.0368"
"","0.5740","0.0513","2.1078","0.0405"
"","0.5900","0.0529","2.2380","0.0425"
"","0.6100","0.0548","2.3648","0.0426"
"","0.6590","0.0598","2.4952","0.0419"
"","0.6730","0.0612","2.6214","0.0440"
"","0.7480","0.0685","2.7498","0.0491"
"","0.7640","0.0702","2.8825","0.0499"
"","0.7840","0.0722","3.0095","0.0509"
"","0.8320","0.0770","3.1377","0.0558"
"","0.8520","0.0789","3.2673","0.0574"
"","0.8720","0.0810","3.3928","0.0574"
"","0.9100","0.0848","3.5190","0.0588"
"","0.9300","0.0868","3.6444","0.0600"
"","0.9710","0.0908","3.7710","0.0657"
"","1.0050","0.0944","3.8998","0.0694"
"","1.0410","0.0980","4.0260","0.0690"
"","1.0690","0.1008","4.1528","0.0707"
"","1.1310","0.1070","4.2784","0.0787"
"","1.1450","0.1084","4.4108","0.0796"
"","1.1560","0.1095","4.5446","0.0801"
"","1.1930","0.1131","4.6779","0.0847"
"","1.2260","0.1165","4.8066","0.0868"
"","1.2560","0.1195","4.9332","0.0886"
"","1.3000","0.1238","5.0590","0.0934"
"","1.3570","0.1296","5.1893","0.0951"
"","1.3840","0.1322","5.3144","0.0970"
"","1.4030","0.1341","5.4471","0.0982"
"","1.4710","0.1409","5.5737","0.1000"
"","1.4920","0.1430","5.7003","0.1011"
"","1.5130","0.1451","5.8305","0.1022"
"","1.5400","0.1477","5.9616","0.1043"
"","1.5850","0.1524","6.0905","0.1091"
"","1.6110","0.1550","6.2163","0.1118"
"","1.6430","0.1581","6.3454","0.1141"
"","1.6590","0.1597","6.4758","0.1153"
"","1.7070","0.1646","6.6024","0.1197"
"","1.7330","0.1671","6.7323","0.1220"
"","1.7620","0.1700","6.8594","0.1244"
"","1.8130","0.1752","6.9895","0.1288"
"","1.8360","0.1775","7.1204","0.1304"
"","1.8880","0.1826","7.2497","0.1344"
